[HC2000],RAJ2000,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag
1,05 35 07.41,-05 25 48.2, ,11.834, ,12.402,0.001,0.004
2,05 35 10.63,-05 25 48.1, ,14.563, ,15.913,0.009,0.014
3,05 35 16.95,-05 25 47.1, ,11.255, ,11.705,0.002,0.004
4,05 35 15.56,-05 25 46.8, ,14.906, ,15.546,0.049,0.058
5,05 35 22.84,-05 25 47.6, ,11.576, ,12.049,0.001,0.003
6,05 35 26.02,-05 25 47.7, ,9.883, ,10.518,0.002,0.005
7,05 35 25.96,-05 25 47.6,>,10.54,>,11.146,0.001,0.004
8,05 35 10.52,-05 25 44.6, ,13.531, ,14.806,0.004,0.007
9,05 35 17.29,-05 25 45.2,>,12.56,>,12.393,0.002,0.003
10,05 35 17.37,-05 25 44.8, ,10.296, ,10.882,0.001,0.004
11,05 35 22.47,-05 25 45.2, ,11.476, ,12.294,0.001,0.003
12,05 35 17.55,-05 25 42.9, ,10.177, ,11.213,0.001,0.004
13,05 35 19.40,-05 25 42.4, ,9.854, ,12.586,0.001,0.004
14,05 35 17.71,-05 25 40.9, ,14.551, ,15.33,0.019,0.02
15,05 35 21.61,-05 25 40.6, ,15.36, ,16.168,0.026,0.026
16,05 35 26.16,-05 25 39.4, ,12.058, ,12.659,0.004,0.011
17,05 35 20.05,-05 25 37.7, ,10.124, ,10.804,0.001,0.003
18,05 35 23.03,-05 25 36.2, ,12.998, ,13.933,0.002,0.004
19,05 35 18.23,-05 25 35.2, ,12.369, ,12.824,0.002,0.005
20,05 35 21.35,-05 25 35.0, ,14.188, ,14.873,0.008,0.01
21,05 35 17.96,-05 25 34.1, ,11.023, ,11.526,0.002,0.003
22,05 35 20.90,-05 25 34.5, ,13.186, ,13.742,0.003,0.005
23,05 35 15.68,-05 25 33.3, ,9.925, ,10.569,0.001,0.003
24,05 35 11.16,-05 25 32.3, ,12.498, ,13.14,0.002,0.004
25,05 35 20.16,-05 25 33.9, ,13.898, ,14.465,0.004,0.007
26,05 35 10.08,-05 25 31.5, ,15.715, ,16.998,0.025,0.042
27,05 35 21.29,-05 25 33.1, ,16.303, ,17.204,0.049,0.069
28,05 35 26.43,-05 25 31.5, ,12.433, ,13.141,0.001,0.004
29,05 35 25.35,-05 25 29.5, ,11.743, ,12.369,0.001,0.004
30,05 35 21.83,-05 25 28.4, ,15.051, ,15.398,0.03,0.03
31,05 35 21.67,-05 25 26.5, ,10.558, ,10.887,0.001,0.003
32,05 35 23.60,-05 25 26.5, ,10.263, ,11.239,0.001,0.003
33,05 35 14.35,-05 25 22.5, ,15.285, ,17.402,0.035,0.1
34,05 35 20.03,-05 25 22.4, ,13.667, ,16.123,0.008,0.028
35,05 35 17.95,-05 25 21.3, ,11.114, ,11.639,0.003,0.003
36,05 35 14.07,-05 25 20.5, ,11.008, ,11.745,0.001,0.003
