APOGEE_ID,ID_kim,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,note
2M05350101-0524103,663,83.75420833,-5.40286111,31.46,0.19,0.16,0.07,-0.62,0.14,3825.01,12.53,38.23,0.92,0.56,C
2M05350117-0524067,,83.75487500,-5.40186111,25.59,0.18,,,,,3979,6,5.40,1.00,0.51,
2M05350160-0524101,655,83.75666667,-5.40280556,27.82,0.24,1.21,0.29,0.25,0.27,2908.02,9.21,35.18,0.88,0.36,
2M05350284-0522082,140,83.76183333,-5.36894444,25.49,0.14,-0.96,0.15,-1.85,0.31,5100.45,1.56,27.43,0.36,0.58,
2M05350309-0522378,190,83.76287500,-5.37716667,29.98,1.67,-0.20,0.38,1.01,0.05,3057.64,30.73,15.65,0.39,0.39,
2M05350370-0522457,189,83.76541667,-5.37936111,31.37,0.57,-0.13,0.48,-0.16,0.19,3138.91,23.35,12.69,0.50,0.50,
2M05350437-0523138,11,83.76820833,-5.38716667,24.65,1.29,0.42,0.16,0.95,0.05,4107.19,63.65,17.67,1.21,1.04,
2M05350450-0523565,,83.76875000,-5.39902778,33.82,0.92,,,,,4591,7,27.77,1.63,0.85,
2M05350461-0524424,657,83.76920833,-5.41177778,26.44,0.44,0.12,0.10,-0.86,0.08,3988.02,9.04,16.79,0.40,0.42,
2M05350481-0522387,67,83.77004167,-5.37741667,26.95,1.16,0.63,0.01,1.26,0.11,3544.42,5.64,10.52,2.27,0.67,
2M05350487-0520574,542,83.77029167,-5.34927778,29.34,0.57,0.25,0.15,-0.23,0.25,3733.67,7.92,11.91,0.53,0.62,
2M05350495-0521092,3,83.77062500,-5.35255556,29.75,0.41,-0.43,0.06,2.12,0.18,4119.19,13.19,13.71,1.44,0.59,
2M05350513-0520244,564,83.77137500,-5.34011111,26.75,0.28,-0.38,0.46,-0.42,0.18,4126.16,10.04,9.15,0.44,0.53,
2M05350537-0524105,77,83.77237500,-5.40291667,26.33,0.87,0.14,0.36,-0.19,0.08,4249.94,50.38,16.20,0.36,0.95,
2M05350540-0524150,176,83.77250000,-5.40416667,24.40,0.28,0.95,0.25,1.04,0.23,3686.05,23.07,4.84,1.85,1.51,
2M05350563-0525195,,83.77345833,-5.42208333,28.83,0.52,,,,,4582,10,42.24,0.81,1.05,
2M05350568-0525058,656,83.77366667,-5.41827778,27.17,0.29,-1.38,0.27,-0.16,0.11,4205.50,8.81,99.00,0.87,0.16,
2M05350571-0523540,39,83.77379167,-5.39833333,23.77,0.22,-1.04,0.47,-0.84,0.05,3029.62,6.43,21.64,0.16,0.42,
2M05350617-0522124,264,83.77570833,-5.37011111,29.26,0.24,-0.85,0.39,-0.75,0.16,3828.14,7.31,9.69,1.16,0.51,C
2M05350627-0522027,129,83.77612500,-5.36741667,27.96,0.23,-0.32,0.24,0.11,0.34,4450.92,6.15,27.39,0.27,0.24,
2M05350651-0524414,,83.77712500,-5.41150000,25.72,0.22,,,,,4269,7,21.56,0.07,0.24,
2M05350727-0522266,131,83.78029167,-5.37405556,25.99,0.27,0.24,0.09,-0.66,0.78,3163.11,37.48,13.13,0.47,0.39,
2M05350739-0525481,585,83.78079167,-5.43002778,25.80,0.30,-0.16,0.06,0.27,0.05,2814.95,17.31,9.62,0.98,0.41,
2M05350773-0521014,629,83.78220833,-5.35038889,28.70,0.30,-0.56,0.16,-1.30,0.13,4326.53,15.17,24.86,0.97,1.14,
2M05350822-0524032,679,83.78425000,-5.40088889,26.43,0.26,1.14,0.13,1.47,0.22,3168.52,7.79,6.48,1.30,0.76,
2M05350829-0524348,17,83.78454167,-5.40966667,25.05,0.29,-0.57,0.46,0.12,0.01,3064.95,8.25,7.43,0.69,0.51,
2M05350853-0524411,171,83.78554167,-5.41141667,31.54,1.53,-1.82,0.73,-0.07,0.18,3048.41,28.89,10.95,0.62,0.52,C
2M05350853-0525179,,83.78554167,-5.42163889,23.35,0.19,,,,,4016,8,5.69,0.50,0.51,
2M05350859-0526194,,83.78579167,-5.43872222,26.43,0.43,,,,,2977,11,14.62,0.66,0.29,
2M05350873-0522566,50,83.78637500,-5.38238889,26.21,0.26,1.05,0.42,-1.26,0.26,4198.10,10.63,71.75,0.89,0.32,
2M05350976-0521282,58,83.79066667,-5.35783333,27.32,0.40,-1.15,0.21,-2.57,0.29,4372.17,6.81,27.20,0.14,0.16,
2M05350992-0521433,359,83.79133333,-5.36202778,28.57,0.71,-1.17,0.06,-0.23,0.48,4131.49,32.85,14.92,1.73,1.03,
2M05351014-0522326,46,83.79225000,-5.37572222,28.82,0.27,-1.02,0.20,0.73,0.26,4021.55,10.76,24.02,1.33,0.64,
2M05351021-0523215,169,83.79254167,-5.38930556,25.51,0.34,1.31,0.63,-0.86,0.43,4329.25,7.55,15.92,0.45,0.98,
2M05351029-0519563,550,83.79287500,-5.33230556,26.54,0.32,-1.68,0.11,1.67,0.10,3449.75,9.32,24.33,0.54,0.54,
