APOGEE_ID,PM_ID,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,Jmag,Jmag_e,Hmag,Hmag_e,Kmag,Kmag_e,Gaia
2M05350101-0524103,663,83.75420833,-5.40286111,31.46,0.19,0.16,0.07,-0.62,0.14,3825.01,12.53,38.23,0.92,0.56,11.479,0.026,10.614,0.042,10.289,0.028,3017363788445827968
2M05350117-0524067,,83.754875,-5.40186111,25.59,0.18,,,,,3979,6,5.4,1,0.51,11.375,0.059,10.6,0.075,10.301,0.071,3017363852865232896
2M05350160-0524101,655,83.75666667,-5.40280556,27.82,0.24,1.21,0.29,0.25,0.27,2908.02,9.21,35.18,0.88,0.36,13.001,0.03,12.394,0.041,11.999,0.032,3017363788453009792
2M05350284-0522082,140,83.76183333,-5.36894444,25.49,0.14,-0.96,0.15,-1.85,0.31,5100.45,1.56,27.43,0.36,0.58,12.035,0.027,10.306,0.032,9.232,0.021,3017365025403440896
2M05350309-0522378,190,83.762875,-5.37716667,29.98,1.67,-0.2,0.38,1.01,0.05,3057.64,30.73,15.65,0.39,0.39,11.987,0.022,11.002,0.031,10.565,0.021,3017364269489305472
2M05350370-0522457,189,83.76541667,-5.37936111,31.37,0.57,-0.13,0.48,-0.16,0.19,3138.91,23.35,12.69,0.5,0.5,13.622,0.02,12.267,0.029,11.642,0.018,3017364269489305344
2M05350437-0523138,11,83.76820833,-5.38716667,24.65,1.29,0.42,0.16,0.95,0.05,4107.19,63.65,17.67,1.21,1.04,11.199,0.025,10.285,0.033,9.82,0.023,3017363887225070336
2M05350450-0523565,,83.76875,-5.39902778,33.82,0.92,,,,,4591,7,27.77,1.63,0.85,11.329,0.023,10.193,0.032,9.536,0.023,3017363822812730112
2M05350461-0524424,657,83.76920833,-5.41177778,26.44,0.44,0.12,0.1,-0.86,0.08,3988.02,9.04,16.79,0.4,0.42,12.718,0.023,11.613,0.033,11.26,0.028,3017363582294577280
2M05350481-0522387,67,83.77004167,-5.37741667,26.95,1.16,0.63,0.01,1.26,0.11,3544.42,5.64,10.52,2.27,0.67,12.84,0.02,12.015,0.03,11.672,0.023,3017364269489201024
2M05350487-0520574,542,83.77029167,-5.34927778,29.34,0.57,0.25,0.15,-0.23,0.25,3733.67,7.92,11.91,0.53,0.62,13.34,0.034,12.034,0.037,11.424,0.023,3017365231561828480
2M05350495-0521092,3,83.770625,-5.35255556,29.75,0.41,-0.43,0.06,2.12,0.18,4119.19,13.19,13.71,1.44,0.59,13.67,0.043,12.103,0.036,11.403,0.024,3017365059755682432
2M05350513-0520244,564,83.771375,-5.34011111,26.75,0.28,-0.38,0.46,-0.42,0.18,4126.16,10.04,9.15,0.44,0.53,12.338,0.027,11.249,0.031,10.626,0.019,3017365231561559040
2M05350537-0524105,77,83.772375,-5.40291667,26.33,0.87,0.14,0.36,-0.19,0.08,4249.94,50.38,16.2,0.36,0.95,11.737,0.04,10.443,0.048,9.616,0.035,3017363822812730880
2M05350540-0524150,176,83.7725,-5.40416667,24.4,0.28,0.95,0.25,1.04,0.23,3686.05,23.07,4.84,1.85,1.51,13.178,0.039,11.929,0.06,11.195,0.039,3017363818505498240
2M05350563-0525195,,83.77345833,-5.42208333,28.83,0.52,,,,,4582,10,42.24,0.81,1.05,8.993,0.023,8.11,0.055,7.434,0.026,3017363582294583936
2M05350568-0525058,656,83.77366667,-5.41827778,27.17,0.29,-1.38,0.27,-0.16,0.11,4205.5,8.81,99,0.87,0.16,11.258,0.035,10.68,0.055,10.243,0.037,3017363582294579456
2M05350571-0523540,39,83.77379167,-5.39833333,23.77,0.22,-1.04,0.47,-0.84,0.05,3029.62,6.43,21.64,0.16,0.42,12.172,0.023,11.461,0.03,11.171,0.018,3017363818505597696
2M05350617-0522124,264,83.77570833,-5.37011111,29.26,0.24,-0.85,0.39,-0.75,0.16,3828.14,7.31,9.69,1.16,0.51,13.293,0.035,11.867,0.037,11.238,0.035,3017364299541935744
2M05350627-0522027,129,83.776125,-5.36741667,27.96,0.23,-0.32,0.24,0.11,0.34,4450.92,6.15,27.39,0.27,0.24,11.533,0.031,9.88,0.038,9.14,0.023,3017364303848915072
2M05350651-0524414,,83.777125,-5.4115,25.72,0.22,,,,,4269,7,21.56,0.07,0.24,11.488,0.021,10.665,0.032,10.455,0.018,3017363612347069440
2M05350727-0522266,131,83.78029167,-5.37405556,25.99,0.27,0.24,0.09,-0.66,0.78,3163.11,37.48,13.13,0.47,0.39,12.259,0.04,11.52,0.043,11.076,0.027,3017364303848916480
2M05350739-0525481,585,83.78079167,-5.43002778,25.8,0.3,-0.16,0.06,0.27,0.05,2814.95,17.31,9.62,0.98,0.41,13.002,0.021,12.308,0.03,11.817,0.018,3017363513575089664
2M05350773-0521014,629,83.78220833,-5.35038889,28.7,0.3,-0.56,0.16,-1.3,0.13,4326.53,15.17,24.86,0.97,1.14,14.412,0.058,12.143,0.04,10.624,0.026,
2M05350822-0524032,679,83.78425,-5.40088889,26.43,0.26,1.14,0.13,1.47,0.22,3168.52,7.79,6.48,1.3,0.76,13.313,0.021,12.302,0.03,11.886,0.018,3017363616654282752
2M05350829-0524348,17,83.78454167,-5.40966667,25.05,0.29,-0.57,0.46,0.12,0.01,3064.95,8.25,7.43,0.69,0.51,12.835,0.038,12.088,0.055,11.68,0.035,3017363616654297088
2M05350853-0524411,171,83.78554167,-5.41141667,31.54,1.53,-1.82,0.73,-0.07,0.18,3048.41,28.89,10.95,0.62,0.52,12.689,0.051,11.746,0.054,10.932,0.036,3017363616641707136
2M05350853-0525179,,83.78554167,-5.42163889,23.35,0.19,,,,,4016,8,5.69,0.5,0.51,12.194,0.021,11.164,0.03,10.699,0.018,3017363513575095680
2M05350859-0526194,,83.78579167,-5.43872222,26.43,0.43,,,,,2977,11,14.62,0.66,0.29,13.24,0.032,12.317,0.033,11.764,0.024,3017360558637610880
2M05350873-0522566,50,83.786375,-5.38238889,26.21,0.26,1.05,0.42,-1.26,0.26,4198.1,10.63,71.75,0.89,0.32,12.57,0.031,11.191,0.042,10.567,0.035,3017364230822465536
2M05350976-0521282,58,83.79066667,-5.35783333,27.32,0.4,-1.15,0.21,-2.57,0.29,4372.17,6.81,27.2,0.14,0.16,11.498,0.036,10.08,0.04,9.46,0.029,3017364406917802752
2M05350992-0521433,359,83.79133333,-5.36202778,28.57,0.71,-1.17,0.06,-0.23,0.48,4131.49,32.85,14.92,1.73,1.03,14.098,0.118,12.185,0.049,11.029,0.046,
2M05351014-0522326,46,83.79225,-5.37572222,28.82,0.27,-1.02,0.2,0.73,0.26,4021.55,10.76,24.02,1.33,0.64,12.168,0.053,11.311,0.052,10.876,0.052,3017364230822470784
2M05351021-0523215,169,83.79254167,-5.38930556,25.51,0.34,1.31,0.63,-0.86,0.43,4329.25,7.55,15.92,0.45,0.98,11.301,,9.755,0.036,8.96,0.019,3017363994611020288
