_RAJ2000,_DEJ2000,_r,m_ID,ID,Nvis,RAJ2000,DEJ2000,SNR,SaFlag,HRV,e_HRV,s_HRV,errHRV,f_Teff,Teff,e_Teff,f_logg,logg,e_logg,f_Vmicro,Vmicro,Vmacro,f_Vsini,Vsini,f_[M/H],[M/H],e_[M/H],f_[a/M],[a/M],e_[a/M],Chi2,TClass,AFlag,f_[C/Fe],[C/Fe],e_[C/Fe],f_[CI/Fe],[CI/Fe],e_[CI/Fe],f_[N/Fe],[N/Fe],e_[N/Fe],f_[O/Fe],[O/Fe],e_[O/Fe],f_[Na/Fe],[Na/Fe],e_[Na/Fe],f_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],f_[Al/Fe],[Al/Fe],e_[Al/Fe],f_[Si/Fe],[Si/Fe],e_[Si/Fe],f_[P/Fe],[P/Fe],e_[P/Fe],f_[S/Fe],[S/Fe],e_[S/Fe],f_[K/Fe],[K/Fe],e_[K/Fe],f_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],f_[Ti/Fe],[Ti/Fe],e_[Ti/Fe],f_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],f_[V/Fe],[V/Fe],e_[V/Fe],f_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],f_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],f_[Fe/H],[Fe/H],e_[Fe/H],f_[Co/Fe],[Co/Fe],e_[Co/Fe],f_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],f_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],f_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],Gaia,Sp
83.42364611,-5.40118389,0.393602,1,2M05334167-0524042,1,83.423646,-5.401184,79.5396,0,23.0823,0.030889,0.0,0.030889,4,,,4,,,4,0.494003,1.0,4,8.03989,4,,,4,,,2.11193,Md_b,8389248,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.43632806,-5.35113389,0.38245,1,2M05334471-0521040,1,83.436328,-5.351134,89.6349,512,22.3295,0.039091,0.0,0.039091,4,,,4,,,4,0.743824,1.0,4,13.27089,4,,,4,,,3.43495,GKd_d,8389248,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.438575,-5.51385611,0.399081,1,2M05334525-0530498,1,83.438575,-5.513856,220.732,512,27.3859,0.021652,0.0,0.021652,4,,,261,,,260,0.332223,4.979554,65540,,4,,,4,,,14.1482,Mg_d,8388608,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.44365389,-5.42287611,0.375127,1,2M05334647-0525223,4,83.443654,-5.422876,52.3756,512,39.787899,0.027593,0.19124,0.087949,4,,,4,,,4,1.525211,3.61911,65540,,4,,,4,,,0.966229,GKg_d,8391296,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.444525,-5.39044806,0.372585,3,2M05334668-0523256,6,83.444525,-5.390448,88.4041,0,792.104004,0.541184,14.1212,1.17592,4,,,4,,,4,1.11556,1.0,4,3.15806,261,,,4,,,3.64544,Fd_b,41943680,4,,,261,,,4,,,4,,,4,,,261,,,260,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,261,,,261,,,4,,,261,,,4,,,261,,,261,,,131341,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=5249
83.444525,-5.39044806,0.372585,3,2M05334668-0523256,6,83.444525,-5.390448,48.5753,512,672.203003,2.47589,0.0,2.47589,4,,,4,,,4,0.714414,10.918924,65540,,4,,,260,,,2.44613,GKg_d,109055616,4,,,261,,,4,,,4,,,4,,,4,,,4,,,261,,,4,,,260,,,4,,,4,,,260,,,4,,,260,,,4,,,4,,,4,,,260,,,4,,,4,,,131341,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=5249,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
83.444525,-5.39044806,0.372585,3,2M05334668-0523256,6,83.444525,-5.390448,36.678,512,595.536987,10.3498,0.0,10.3498,4,,,4,,,4,1.882392,12.72931,65540,,261,,,260,,,1.94756,GKg_d,41946752,260,,,261,,,4,,,4,,,4,,,261,,,4,,,261,,,261,,,260,,,4,,,4,,,261,,,4,,,4,,,261,,,4,,,261,,,261,,,4,,,260,,,133389,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4611,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.44855111,-5.43016194,0.371044,1,2M05334765-0525485,1,83.448551,-5.430162,54.2316,512,31.3097,0.05649,0.0,0.05649,4,,,4,,,4,0.932513,1.0,4,14.29881,4,,,4,,,2.41913,Md_d,8391296,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.45141306,-5.37760111,0.365844,1,2M05334833-0522393,1,83.451413,-5.377601,73.2083,0,26.5072,0.033703,0.0,0.033703,4,,,4,,,4,0.812237,1.0,4,8.03619,4,,,4,,,2.26183,Md_b,8389248,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4612
83.454015,-5.29810889,0.373924,1,2M05334896-0517531,4,83.454015,-5.298109,97.873,0,27.855301,0.05039,0.28181,0.159915,4,,,4,,,260,0.380908,1.0,4,12.01988,4,,,4,,,3.19639,Md_b,8389248,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=I/345/gaia2&Source=4612,http://vizier.u-strasbg.fr/viz-bin/https://dr16.sdss.org/infrared/spectrum/view/stars?apogee_id=%-18s             &location_id=4611
