RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
85.1387100219727,-10.148063659668,b'2M05403328-1008530',3011876641301608832,b'*',1,4575.03,46.6874,3.35993,0.113455,b' ',-12.3791,0.390049,2.367045,0.099655,2.4,0.25
84.915885925293,-10.0873584747315,b'2M05393981-1005144',3010568050666860160,b'*',1,3863.28,27.1731,5.06348,0.0902488,b' ',65.8351,0.259475,0.652762,0.04661,1.15,0.4
85.7497329711914,-10.0611810684204,b'2M05425993-1003402',3011892790378687744,b'*',1,4005.44,21.547,4.43927,0.0882089,b' ',18.9598,0.338055,1.227168,0.319556,4.35,1.1
85.6546020507812,-10.0582981109619,b'2M05423710-1003298',3011893408853983232,b' ',1,4439.94,28.3434,4.32646,0.107124,b' ',24.8693,0.877524,1.49525,0.328541,4.5,0.85
85.6852416992188,-10.0552062988281,b'2M05424445-1003187',3011893473277246464,b' ',1,4475.21,26.4503,4.55405,0.100072,b' ',20.3339,0.37187,0.0,0.0,0.0,0.0
85.5517044067383,-10.0365047454834,b'2M05421240-1002114',3011882237642977536,b' ',1,3157.09,24.2134,3.39666,0.181298,b' ',20.9434,0.355917,0.0,0.0,0.0,0.0
85.6156921386719,-10.0309019088745,b'2M05422776-1001512',3011905434762412416,b'*',1,7566.37,1794.36,4.28229,0.340597,b'<',22.7263,0.0,0.0,0.0,0.0,0.0
85.5003967285156,-10.0198087692261,b'2M05420009-1001113',3011883130996177280,b' ',1,4680.17,33.7585,4.62856,0.0797413,b' ',21.2686,0.281249,0.0,0.0,0.0,0.0
85.6523590087891,-10.0172281265259,b'2M05423656-1001020',3011893821169847808,b' ',1,4069.31,29.9725,4.34491,0.0917185,b' ',22.7034,0.641527,0.0,0.0,0.0,0.0
85.7705688476562,-10.005446434021,b'2M05430493-1000196',3011894714524030848,b' ',1,3999.58,20.9102,4.46386,0.0999493,b' ',19.5934,0.407199,0.0,0.0,0.0,0.0
85.5795211791992,-10.002215385437,b'2M05421908-1000079',0,b' ',1,3748.43,106.448,5.98089,0.219284,b'<',33.5338,0.0,0.0,0.0,0.0,0.0
85.6542816162109,-9.99382305145264,b'2M05423702-0959377',3011905980222014720,b' ',1,3983.51,16.9302,4.44051,0.0889373,b' ',21.9355,0.476202,0.0,0.0,0.0,0.0
85.8625564575195,-9.99376964569092,b'2M05432701-0959375',3011892137543646080,b'*',1,5388.56,68.3615,4.70964,0.0916877,b' ',20.8634,0.559606,6.618936,1.493236,2.05,1.0
84.7397003173828,-9.98587226867676,b'2M05385752-0959091',3010584234103442944,b' ',1,5637.37,88.4448,5.34492,0.100409,b' ',-3.6817,0.260874,2.285892,0.052851,1.5,0.05
85.3984298706055,-9.98319721221924,b'2M05413562-0958595',3011886846143896832,b'*',1,4208.57,27.0481,2.47552,0.0942929,b' ',-9.7959,0.26606,84.967576,0.0,4.5,0.0999999
85.5433197021484,-9.97727680206299,b'2M05421039-0958381',3011906770496177664,b' ',1,4179.44,28.0174,4.52979,0.0970248,b' ',20.6174,0.450122,1.224007,0.379756,4.5,1.2
85.6318969726562,-9.9614782333374,b'2M05423165-0957413',3011906328115691520,b' ',1,3756.51,32.0838,4.23622,0.105067,b' ',21.7849,0.462799,0.0,0.0,0.0,0.0
85.7156143188477,-9.96137809753418,b'2M05425174-0957409',3011895878459343616,b' ',1,4335.08,29.5535,4.52551,0.109458,b' ',19.896,0.598762,0.0,0.0,0.0,0.0
85.5587768554688,-9.93892765045166,b'2M05421410-0956201',3011907015310374528,b'*',1,4645.52,31.2849,4.32585,0.0748794,b' ',21.4907,0.527944,6.513461,0.426995,4.05,0.2
85.8638229370117,-9.93860626220703,b'2M05432731-0956189',3011901311593787136,b'*',1,5106.56,28.5635,3.87941,0.084108,b' ',10.2754,0.209195,32.685563,0.0,3.6,0.0499997
85.663444519043,-9.92577457427979,b'2M05423922-0955327',3011907977383041920,b' ',1,4396.39,23.1209,4.40805,0.0880867,b' ',21.5173,0.439468,0.0,0.0,0.0,0.0
85.5931701660156,-9.92052268981934,b'2M05422236-0955138',3011907530706447488,b'*',3,6626.79,237.061,4.24518,0.0627211,b'<',2.11185,0.0,32.943624,0.0,0.0,0.0
84.3338088989258,-9.91214847564697,b'2M05372011-0954437',3010641614866549888,b' ',1,3741.85,23.8448,3.94178,0.0769465,b' ',18.8438,0.531194,1.377985,0.0,2.4,0.0
85.638542175293,-9.90914535522461,b'2M05423324-0954329',3011908767657025024,b' ',1,3644.14,32.0283,4.05693,0.0947113,b' ',20.8527,0.3434,0.0,0.0,0.0,0.0
85.4888305664062,-9.89965438842773,b'2M05415731-0953587',3011911104119183360,b' ',1,4211.87,23.9624,4.54868,0.0819853,b' ',20.922,0.480761,0.0,0.0,0.0,0.0
