ID,_RAJ2000,_DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Ndet,Dt,F139,Note
1,83.85346518,-5.3660262,0.34,0.09,-0.71,0.05,4,16.9,14.57,
2,83.83552846,-5.34779414,-0.2,0.16,0.68,0.55,3,16.3,12.12,
3,83.77062885,-5.3525743,-0.43,0.06,2.12,0.18,3,11,13.25,
4,83.77579375,-5.33816393,-0.41,0.28,-0.75,0.3,3,11,14.52,
5,83.82285598,-5.3809109,1.38,0.16,1.64,0.05,5,16.4,13.35,
6,83.79410989,-5.37909779,0.14,0.46,-1.53,0.06,3,16.3,12.11,
7,83.81797732,-5.3403371,-1,0.13,0.01,0.45,3,16.3,12.93,
8,83.85596135,-5.39258964,-0.79,0.11,-0.44,0.11,4,16.3,12.81,
9,83.84994021,-5.41941865,0.12,0.81,0.98,0.15,4,14.6,13.04,
10,83.79543932,-5.37954202,-0.04,0.27,1,0.4,5,19.4,13.3,
11,83.7680879,-5.38703003,0.42,0.16,0.95,0.05,3,10.4,12.54,
12,83.81408083,-5.37371934,1.64,0.66,-0.62,1.74,6,14,11.81,
13,83.85573854,-5.40318348,-0.14,0.69,-0.42,0.08,4,14,12.59,
14,83.83611908,-5.41966073,-0.24,0.24,0.4,0.17,4,16.9,13.21,
15,83.84501198,-5.38705622,0.29,0.11,-0.16,0.41,3,10.4,11.6,
16,83.86574514,-5.39241947,-0.71,0.19,0.94,0.11,4,16.3,13.36,
17,83.78457726,-5.40969193,-0.57,0.46,0.12,0.01,4,10.6,12.75,
18,83.75448937,-5.3844777,-0.3,0.14,0.75,0.38,3,10.4,13.53,
19,83.82816692,-5.36726378,0.32,0.67,-0.16,0.22,3,14.5,11.58,
20,83.82852479,-5.37305512,0.14,0.2,-0.04,0.15,4,16.9,13.44,
21,83.82312786,-5.36263663,-0.2,0.7,1.02,0.23,4,14.6,11.8,
22,83.81335167,-5.37335131,-1.26,0.05,0.38,0.11,4,14,11.26,
23,83.81176136,-5.39622952,-1.66,0.4,0.08,0.13,5,16.9,12.75,
24,83.83346259,-5.37400516,0.31,0.03,-1.6,0.14,3,16.3,13.54,
25,83.83600533,-5.37932126,2.09,0.19,-0.68,0.03,4,16.3,13.11,
26,83.77870758,-5.36923667,-0.06,0.37,-0.28,0.51,5,16.4,14.14,
27,83.83630658,-5.37540927,-0.47,0.06,-0.39,0.46,3,16.3,13.1,
28,83.77687423,-5.36876061,1.67,0.09,0.57,0.14,4,16.4,13.52,
29,83.80506658,-5.34797918,-0.01,0.18,-0.92,0.27,3,16.4,12.31,
30,83.79275877,-5.36586733,0.76,0.43,2.43,0.18,3,16.3,13.44,
31,83.83714713,-5.38939781,-0.48,0.16,-0.53,0.24,5,16.3,13.04,
32,83.80869607,-5.3768084,-0.47,0.38,0.23,0.23,6,14.5,10.89,
33,83.82195866,-5.40672569,-0.67,0.19,-0.47,0.12,7,17,13.36,
34,83.83684515,-5.35595521,0.7,2.17,0.83,0.91,3,16.3,12.95,
35,83.81452743,-5.38016396,-0.43,0.04,-0.27,0.74,4,14.5,10.94,
36,83.78514759,-5.38471302,-1.07,0.34,-0.61,0.13,7,17,14.09,
37,83.81507132,-5.40085543,0.54,0.11,-1.8,0.02,3,14.6,10.75,
38,83.79952032,-5.35096414,-0.25,0.15,0.33,0.52,4,19.5,12.21,
39,83.7738239,-5.39835867,-1.04,0.47,-0.84,0.05,3,10.6,12.11,
40,83.81746512,-5.37707362,-0.64,0.17,0.23,0.07,6,16.4,12.43,
41,83.83825037,-5.39254266,0.98,0.1,0.76,0.11,4,19.3,13.58,
42,83.83878362,-5.39613281,-0.02,0.1,0.65,0.04,4,19.3,13.51,
43,83.82512683,-5.36816526,1.4,0.27,-2.26,0.11,4,16.3,11.47,
44,83.82865099,-5.39135242,-0.85,0.24,1.35,0.03,6,19.3,12.29,
45,83.83557417,-5.36137485,-0.22,0.2,1.29,0.04,3,16.3,13.1,
46,83.79225704,-5.37573228,-1.02,0.2,0.73,0.26,4,16.3,12.52,
47,83.80662587,-5.3420452,-0.38,0.02,1.2,0.27,3,19.5,13.64,
48,83.78135831,-5.33066107,-1.16,0.41,-1.41,0.47,3,16.4,14.1,
49,83.78772061,-5.33810414,-0.16,0.14,0.32,0.17,3,16.4,14.2,
50,83.78639904,-5.3824135,1.05,0.42,-1.26,0.26,5,16.3,12.17,
