HC2000,ID_apogee,theta_orionis,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,year,month,day,itime,sci_frames,tel_frames,teff,teff_e,teff_nirspec,teff_e_nirspec,logg,logg_e,vsini,vsini_e,rv_nirspec,rv_helio,rv_e_nirspec,airmass,airmass_e,pwv,pwv_e,veiling,veiling_e,veiling_param_O32,veiling_param_O33,veiling_param_O34,veiling_param_O35,lsf,lsf_e,noise,noise_e,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O34,model_std_O34,model_dip_O35,model_std_O35,wave_offset_O32,wave_offset_O32_e,flux_offset_O32,flux_offset_O32_e,wave_offset_O33,wave_offset_O33_e,flux_offset_O33,flux_offset_O33_e,wave_offset_O34,wave_offset_O34_e,flux_offset_O34,flux_offset_O34_e,wave_offset_O35,wave_offset_O35_e,flux_offset_O35,flux_offset_O35_e,snr_O32,snr_O33,snr_O34,snr_O35,Kmag,Kmag_e,Hmag,Hmag_e,mass_literature,mass_e_literature,teff_chris,teff_e_chris,vr_chris,vr_e_chris,vsini_chris,vsini_e_chris,veiling_param_O33_chris,rv_apogee,rv_e_apogee,teff_apogee,teff_e_apogee,vsini_apogee,vsini_e_apogee,veiling_apogee,Hmag_apogee,Hmag_e_apogee,ID_2MASS,ID_gaia_dr2,teff_kounkel,teff_e_kounkel,logg_kounkel,logg_e_kounkel,rv_mean_kounkel,rv_mean_e_kounkel,ID_kim,pmRA_kim,pmRA_e_kim,pmDE_kim,pmDE_e_kim,ID_gaia,plx,plx_e,plx_over_e,pmRA_gaia,pmRA_e_gaia,pmDE_gaia,pmDE_e_gaia,Gmag,Gmag_e,bp_rp,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_excess_noise,ruwe,ID_hillenbrand,m_ID,Parenago,Mem,Imag,l_V-I,V-I,logT,AV,log_L_,mass_Hillenbrand,log_age_,recno,ID_2MASS_tobin,rv_tobin,rv_e_tobin,Vmag_tobin,V-I_tobin,mass_BHAC15,mass_e_BHAC15,logL_BHAC15,logL_e_BHAC15,logg_BHAC15,logg_e_BHAC15,Mk_BHAC15,Mk_e_BHAC15,mk_BHAC15,mk_e_BHAC15,mass_MIST,mass_e_MIST,logg_MIST,logg_e_MIST,logL_MIST,logL_e_MIST,mass_Feiden,mass_e_Feiden,logg_Feiden,logg_e_Feiden,logL_Feiden,logL_e_Feiden,mass_Palla,mass_e_Palla,logL_Palla,logL_e_Palla,mass_DAntona,mass_e_DAntona,logL_DAntona,logL_e_DAntona,pmRA,pmRA_e,pmDE,pmDE_e,vr,vr_e,dist,dist_e,vRA,vRA_e,vDE,vDE_e,vt,vt_e,v,v_e,sep_to_trapezium,vrel_MIST,vrel_e_MIST,vrel_BHAC15,vrel_e_BHAC15,vrel_Feiden,vrel_e_Feiden,vrel_Palla,vrel_e_Palla
322,,,83.81787499999999,-5.387944444444445,05 35 16.29,-05 23 16.6,15.0,12.0,23.0,300.0,"[75, 76, 77, 78]","[79, 80, 80, 79]",3404.883304407552,13.371668174259868,3404.883304407552,13.371668174259868,4.892896316522807,0.0932305642974999,37.11140592498976,0.5102603800472494,28.47736833142173,24.673755710060348,0.2926804844137898,1.004430178095113,0.0044034130579029,4.006504573987139,0.0407386775365019,10014.077107544805,1724.0421532725177,0.0857616618022734,0.0740306423146559,0.0719160423033534,,5.048932286552144,0.0329705744967658,1.3155038546465012,0.0113727351355031,0.2103327399718145,0.0821505791696244,0.2634319029380871,0.0577722122339793,0.0513677790921401,0.0122743340759334,,,0.0664677156595425,0.0050796479814149,0.0048362072757904,0.0008646119260847,0.0779274113751946,0.0056895218001527,0.0007419975036576,0.0006057750479177,0.0793467482600876,0.0116428419302449,-0.000520385554262,0.0006012921378767,,,,,24.720857153013966,37.80580162393312,45.01294444547136,,9.435,0.004,9.982,0.004,,,3414.0,18.0,24.9,0.27,37.47,0.92,0.07,,,,,,,,,,,,,,,,,,,,,,,3017364063323188864,2.570694087403599,0.15427135,16.80327,0.48342365851123015,0.13028783,-0.06513005830511519,0.10703966,13.78664,0.0096201785592521,0.6814766,208.0,13.025087,0.7164344,1.7116724,512.0,,0.0,99.0,12.3,,,,,,,,714.0,,,,,,0.28977137363166,0.0130359789909889,-0.7445487032840158,0.192862981350831,3.723862824178996,0.1961362122649614,3.837280307662703,0.5116802898186059,11.78702831429124,0.5117716302878165,0.3045294930616657,0.0138178481252572,3.72234619961784,0.1876395294192037,-0.7175815272583085,0.1921327978251821,0.3051388824315975,0.0212617193687845,3.6488081039786455,0.289057723693771,-0.6447479124844925,0.2733188133117734,0.2406242075555528,0.012183364594153,0.1485929971777751,0.0901828439037284,,,,,0.48342365851123015,0.13028783,-0.06513005830511519,0.10703966,24.673755710060348,0.2926804844137898,389,3,0.8913655469825168,0.24033085236500715,-0.12009070930646969,0.1973683204743408,0.8994188772808654,0.23963589042895886,24.690143279384685,0.29261646503268235,0.008177111986633137,3.8525174487123754,0.3559103584547604,3.9060802392722307,0.3303559681291833,3.823502220059167,0.3576847500831389,3.951320614300319,0.37746008823649563
259,,,83.821125,-5.392777777777778,05 35 17.07,-05 23 34.0,15.0,12.0,23.0,90.0,"[87, 88, 89, 90]","[95, 96, 96, 95]",3429.502623804286,12.202265977796742,3429.502623804286,12.202265977796742,3.555975665260258,0.1709798104156896,33.15614902190778,0.2815722823077102,32.149683551370764,28.01512718588744,0.179179404168094,1.3689033705479337,0.0056413988261875,2.3429916023781905,0.0176182215737146,65935.65886591846,2698.496086129672,0.5540610734350467,0.4787271085612659,0.4153654733286112,,5.041264724698615,0.0368099661903902,1.101413571345247,0.0064936645191193,0.1694877358166274,0.068067349063245,0.2117449876514785,0.045337315344568,0.0504551110966541,0.0167100536382826,,,0.1938193294125958,0.0023574637119932,0.0035337458102412,0.0006199503072243,0.1535919083049362,0.0035345005660411,0.0009488207782146,0.0004470638305476,0.1256205357366548,0.0087693249383091,-0.0003644334810467,0.000611330018013,,,,,20.80867569770511,31.68842296994725,38.37719753643735,,,,,,,,3501.0,44.0,27.53,0.08,32.49,1.95,0.54,,,,,,,,,,,,,,,,,,,,,,,,2.570694087403599,,,,,,,,,,,,,,538.0,,1893.0,99.0,11.5,,1.89,3.708,2.47,0.96,1.93,5.73,761.0,,,,,,0.3008441706765651,0.0132396874553143,-0.7185649098498391,0.1885973872693833,3.730337668270626,0.1910906472610516,3.776792151429052,0.5009920326658992,11.726540158057592,0.5010853214506551,0.3182366575372252,0.0134056143510759,3.727328277033888,0.1892567003134992,-0.6908966480764552,0.1875899446980778,0.3193174346903238,0.0233212745357449,3.664469165661544,0.2884785405982126,-0.628008926366124,0.2677413916180756,0.2588472418980652,0.0110899337035149,0.1659048798031619,0.0947473298405845,,,,,,,,,28.01512718588744,0.179179404168094,389,3,,,,,,,,,0.3559337339091535,,,,,,,,
213,,,83.81645833333332,-5.397194444444445,05 35 15.95,-05 23 49.9,15.0,12.0,23.0,60.0,"[91, 92, 93, 94]","[95, 96, 96, 95]",3196.9964237839035,62.04159111217814,3196.9964237839035,62.04159111217814,4.931580421275921,0.0827559566939872,23.79344694236292,2.595165151140137,13.863990468435016,9.706245400888784,1.130355754207215,1.426474760735022,0.0058842600675029,2.2327581173919584,0.0180713727815264,534056.7130312443,49286.49922509544,5.496960823087387,4.685035472753049,4.490542313746599,,5.310201367041914,0.0333487569380768,1.229467692636832,0.0078184979928754,0.0675226076140305,0.031007584006415,0.042235752915565,0.0129183928265233,0.0172691653224683,0.0070701638373323,,,0.0871452382175132,0.0030827873784065,0.0027685242040519,0.0006968947800164,0.1043547578948428,0.0040905416152118,0.0016595244850131,0.0004492135642607,0.0866409061993089,0.0086287764857861,-0.0008777053411437,0.0006009027778362,,,,,23.086101425403264,33.400941377936014,39.07151535618478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.570694087403599,,,,,,,,,,,,,,499.0,,1869.0,99.0,11.45,,2.34,3.719,3.78,1.3,2.84,5.62,690.0,,,,,,0.198024904125225,0.0312541763604471,-0.9639501917495498,0.2701084104259668,3.666708173542042,0.2409254733901378,4.348558748790691,0.6845470195774641,12.29830675541923,0.6846152967842495,0.1884493374459919,0.0326590857902715,3.680747625808075,0.2188805591250886,-0.9969984230521168,0.299028070760131,0.1892639068786593,0.0378763195782179,3.447797103947599,0.2512809138164606,-0.7610684216996698,0.3137995662850302,0.144029287050979,0.0239202887270723,0.0785037533495963,0.066325174736498,,,,,,,,,9.706245400888784,1.130355754207215,389,3,,,,,,,,,0.5636393473680188,,,,,,,,
291_A,,,83.81599999999999,-5.390444444444445,05 35 15.84,-05 23 25.6,15.0,12.0,24.0,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",4042.144375056311,48.78760719726256,4042.144375056311,48.78760719726256,4.768202063816771,0.227483689827316,8.900643128006733,7.422335894307971,48.03922117459611,44.04332093182615,3.041215492340516,1.3818785269724287,0.050723131174907,2.1814496100741203,0.0783012727746099,2423811.903489734,641000.0815515696,8.329707739637467,7.001426392137632,6.477261760817876,9.76083043045992,8.738425977895343,0.2550848710634028,1.275586406025907,0.0183252903037447,0.0945986465159844,0.0411752264660395,0.039646028990679,0.0129194703153315,0.0121146019267059,0.0054541975377518,0.0219993197663397,0.0055935178916194,0.1978052593109195,0.004792702347407,0.00376165201553,0.0009408781224801,0.3746909959678153,0.0070899588472327,0.0002471174435321,0.0007148340503412,0.4873160705501279,0.0118265671560935,-0.0002299868770674,0.0005679253994349,0.5983956440925412,0.0173699054477526,0.0004323464538407,0.0003959386635098,29.18965691063311,41.2827130129077,45.98723895636288,48.8308087297026,10.395,0.01,11.064,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1.1,0.45,-1.63,0.07,,2.570694087403599,,,,,,,,,,,,,,489.0,,0.0,96.0,13.7,,,,,,,,676.0,,,,,,0.707620312546926,0.0724946959162521,-0.1731417187077665,0.1820691742042624,3.841524062509385,0.1672494695916251,2.677045468670226,0.4272581859446374,10.626793475298763,0.4273675701726785,0.7167776846632281,0.0845590802565292,3.849908289627127,0.1709544571943166,-0.1755769110264158,0.1680344199309247,0.6736032520834723,0.0839134641800044,3.838247085036941,0.1908134483910635,-0.1921027715073225,0.1803419080559223,0.7668003472743623,0.0515601466105304,0.8832245834209285,0.4005608203130357,0.6078895946563944,0.089033133739472,-0.3150591107329431,0.1444445527080548,1.1,0.45,-1.63,0.07,44.04332093182615,3.041215492340516,389,3,2.028246,0.8298844264914242,-3.0054918,0.13113490773245698,3.625846493769868,0.4771339309431618,44.19231699628589,3.031214719674623,0.18557709934855482,16.013122805430186,3.039164881529767,15.856217229428626,3.035801019634258,16.043854388083126,3.0394182929791618,15.943517335249526,3.0420776671662915
291_B,,,83.81599999999999,-5.390444444444445,05 35 15.84,-05 23 25.6,15.0,12.0,24.0,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3168.734827003599,13.43125635251272,3168.734827003599,13.43125635251272,4.978055006795488,0.0263538366909523,16.451224408800616,0.2451802781694265,33.0696823865443,29.07378214377433,0.2459499960213094,1.1274248476679034,0.0070041756769221,2.099441885342137,0.0261761462055933,41385.356737831,2048.26730147146,0.4381515777608157,0.3725416980525993,0.3556969694505785,,5.430888957856716,0.0325004577042151,1.186060765317206,0.0104164660569072,0.1963181164809202,0.0747280037085151,0.2439587609976742,0.0540109132927427,0.0513837756273902,0.0147587976729549,,,0.1742923913453139,0.0046227858990118,0.0029418864896122,0.0009486772463751,0.5080395427948324,0.0069489057633606,0.0005425152946261,0.0006306601116257,0.6196187234146064,0.0142614381245955,-0.0013038490728465,0.0005832016796492,,,,,21.182581295269127,32.84569824575239,38.64831202622254,,10.395,0.01,11.064,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1.1,0.45,-1.63,0.07,,2.570694087403599,,,,,,,,,,,,,,489.0,,0.0,96.0,13.7,,,,,,,,676.0,,,,,,0.1868690106593154,0.0096169892002806,-0.9862619786813692,0.2253280010209385,3.6481150177655257,0.228825109994859,4.396900953809633,0.5859958569563704,12.346648960438172,0.5860756153847623,0.1753711690082132,0.007758722118457,3.672082976766606,0.2113503672354415,-1.036512285328726,0.2342647623945639,0.1775640610297703,0.0167321930721463,3.4041154184262967,0.2059076055600353,-0.7602009168120045,0.2438775663692196,0.1336908246438174,0.0061792906396031,0.0726860185950209,0.0494300780333508,,,,,1.1,0.45,-1.63,0.07,29.07378214377433,0.2459499960213094,389,3,2.028246,0.8298844264914242,-3.0054918,0.13113490773245698,3.625846493769868,0.4771339309431618,29.299002900099424,0.2511006087703067,0.18557709934855482,3.6342992628482675,0.3336345546800516,3.3286662185015645,0.3014575753984547,3.6430847147476357,0.3359351107715229,3.700148698851072,0.359201018963788
252,,,83.82074999999999,-5.393638888888889,05 35 16.98,-05 23 37.1,15.0,12.0,24.0,300.0,"[52, 53, 54, 55]","[50, 51, 51, 50]",3152.994277461244,42.749207958836,3152.994277461244,42.749207958836,4.921132727597137,0.0908524964517827,15.19944440370804,0.9731702103990418,29.56630361969012,25.467228430631287,0.4190883668312413,1.0210237148705543,0.0043526107314142,2.02575287394686,0.015078748370799,578660.0966398597,34600.38627442921,6.223929678826381,5.284052379579099,5.028237672218425,,4.919934083041821,0.0350455749323561,1.399279488725074,0.0090396126437773,0.1146464231216974,0.0430506509534785,0.0435578392663884,0.0139259152302132,0.0180404761846275,0.006735105273553,,,0.0159120294805094,0.0024983719184436,0.0035883919142934,0.0005994659586159,0.0583749507704703,0.0039677089731805,0.0002876630627297,0.0003864942831833,0.1658171114820416,0.015283605182071,0.0008992639315739,0.0006298788863517,,,,,29.856416349168995,41.76439660656057,47.30428827083708,,9.314,0.005,10.238,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,2.97,0.37,2.67,1.38,,2.570694087403599,,,,,,,,,,,,,,534.0,,1894.0,99.0,12.66,,1.43,3.544,0.0,-0.03,0.22,4.7,755.0,,,,,,0.1806556358399648,0.0199059438511357,-0.9986887283200704,0.2624295950126158,3.637759393066608,0.232326550851067,4.423825578026819,0.6737985470770809,12.373573584655356,0.6738679133344918,0.1680871659202639,0.0209914509645425,3.667257122850262,0.2146879426625918,-1.0585198849562252,0.280118533759178,0.1701465698970033,0.0298005380437074,3.3965306257810304,0.2128561474893926,-0.7802606685690927,0.2709441040867419,0.1279327253765775,0.0168792729776773,0.069445779098274,0.0556843941731654,,,,,2.97,0.37,2.67,1.38,25.467228430631287,0.4190883668312413,389,3,5.4762642,0.6835341812600159,4.9231062,2.544810043869876,7.363860688842511,1.7760956238546222,26.510491662408576,0.6367705017330356,0.38876603668592585,7.6429850586504005,0.6829045067955084,7.73350890735368,0.6691983060843274,7.627709225831414,0.6838722524747031,7.646890960805481,0.6977825249082973
250,,,83.81624999999998,-5.393888888888889,05 35 15.90,-05 23 38.0,15.0,12.0,24.0,1200.0,"[56, 57, 58, 59]","[60, 61, 61, 60]",3015.519110846549,38.83553948737244,3015.519110846549,38.83553948737244,4.915696440136268,0.0928241268324256,16.37909152024589,0.7646673422087007,33.656458080670795,29.43220916522971,0.3708848429467473,1.0113283854176975,0.0097421728317398,2.0362397261066327,0.0712812030012975,29881.99319997757,2985.405328288504,0.3675585479286265,0.3098395908804932,0.2880273680076545,,5.445757483021424,0.1199156776385534,1.0000740914980493,0.0001027252293003,0.2056848043285204,0.0827463169470626,0.229268190221244,0.0538821367671928,0.0638889616016691,0.0205703632707546,,,-0.0169444131780278,0.011212559050307,0.001706486822883,0.0017662182799729,0.0338472632970218,0.0125518823712401,0.0004628426297195,0.0010347564035921,0.3287786353854006,0.0389611678780822,-0.0012691428543551,0.0014191802843148,,,,,6.096163663353588,10.516839595368218,13.246312629571216,,12.144,0.008,12.803,0.006,,,2975.0,91.0,29.93,0.46,15.9,1.86,0.39,,,,,,,,,,,,,,,,,,197.0,1.7,0.4,-3.85,1.18,,2.570694087403599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1202732162350259,0.0239550413390038,-1.1791803512949222,0.2549941813346268,3.5705464324700515,0.1938627551685579,4.863224094472331,0.6416274662285346,12.81297210110087,0.6417003101116956,0.1140874459669391,0.0150225098575611,3.6141251404892505,0.1884176926042184,-1.25462973891824,0.231041829037302,0.1031478337744789,0.0120557262268523,3.4217094326247453,0.0895196528389266,-1.1004764225527062,0.1345640687537507,,,,,,,,,1.7,0.4,-3.85,1.18,29.43220916522971,0.3708848429467473,389,3,3.1345620000000003,0.737940061395233,-7.098861,2.176443471292567,7.760109949553872,2.013418380062181,30.438039404255274,0.6261856870762116,0.37098315933990783,7.417023553538104,0.6733447283918986,7.394570043535713,0.6571140804136697,7.423601038594256,0.6733882105207534,,
244,,,83.82108333333332,-5.394388888888889,05 35 17.06,-05 23 39.8,15.0,12.0,24.0,600.0,"[62, 63, 64, 65]","[60, 61, 61, 60]",3407.350679603473,9.80539477186494,3407.350679603473,9.80539477186494,4.92926888080218,0.0697476112610133,21.523412859182404,0.110417592894171,32.641226520612534,28.20378124255677,0.1424789263762811,1.0986838738815574,0.0068163840816314,2.046015771509976,0.0251300444148652,1223.8885813603802,917.1453061421918,0.0104605146082788,0.0090316635725778,0.0087888076838403,,5.069945914077111,0.0732761736918665,1.063576225264508,0.0099676040575091,0.2815724217480638,0.0931709080390526,0.348206530653057,0.0729543332950784,0.0759146367028532,0.0152751210517901,,,0.0926868574137081,0.0042347266131984,0.0021797743333604,0.0008041056604561,0.1227359113734187,0.0053018931388075,8.687496514683333e-05,0.000543104261712,0.1249345849699319,0.0138657974016478,-0.0003518578528264,0.0006259561244588,,,,,21.369543322867727,33.41547639155536,41.28486760770475,,10.151,0.005,10.711,0.004,,,3436.0,17.0,28.18,0.11,21.29,0.83,0.04,,,,,,,,,,,,,,,,,,180.0,-0.02,0.15,0.83,0.4,3017363960246048384,2.570694087403599,0.08098062,31.54316,-1.363072179739175,0.080696195,-0.0643228017965829,0.07231949,15.083577,0.0071613800950871,0.90170956,273.0,-7.8845778,0.35433275,0.6779133,537.0,,0.0,90.0,13.35,,,3.591,0.0,-0.35,0.51,6.17,760.0,,,,,,0.2908631325679084,0.0112338223436867,-0.7419284818370198,0.1888924221246226,3.724517879540745,0.1944007833701142,3.831166457619712,0.50241565162412,11.780914464248252,0.502508676119613,0.3057828918651532,0.0117153383436957,3.721688806996446,0.1859353524053397,-0.7138807192633855,0.1867369395085678,0.3065598724920252,0.01973658811156,3.650377672759792,0.2881570918249354,-0.6430703129340024,0.2701254067581834,0.2424505400469823,0.009490327524853,0.1503280130446332,0.0873330008646891,,,,,-0.02,0.15,0.83,0.4,28.20378124255677,0.1424789263762811,389,3,-0.036877200000000006,0.276579146221041,1.5304038,0.7376384299253667,1.5308480391385293,0.7374545808782283,28.245296459710442,0.14777726185193754,0.437889144891055,1.5572269495797524,0.29442566911994483,1.9193985200322292,0.25354761505576373,1.536467492777362,0.29661019473956857,1.5402941655702085,0.3289172975126868
261,,,83.81408333333331,-5.392611111111112,05 35 15.38,-05 23 33.4,15.0,12.0,24.0,900.0,"[66, 67, 68, 69]","[44, 45, 45, 44]",3366.388951153662,14.0118089855564,3366.388951153662,14.0118089855564,4.969400965831978,0.0342033558762038,0.4160911817884729,0.5597280321538297,31.04404069289301,26.49616647003558,0.1541317674378497,1.294360678040224,0.0190206854113095,2.160794989477347,0.0686527548084983,72.4993677947955,90.76219108661031,0.000640984961395,0.0005523717943487,0.0005374646698211,,4.85439900609645,0.0867952526112589,1.000220586899432,0.0002625062911584,0.3984901526758535,0.1333856127678125,0.4607287948376503,0.0994617491374678,0.1529236800881852,0.0231443395631039,,,-0.0965306984089988,0.0100383711654135,0.001974493941822,0.0024882586059964,-0.0739237422082371,0.0096165392914999,0.0002028392705443,0.0013213593332493,0.221544965891161,0.0140429986918028,-0.0012720772059418,0.0009979565315246,,,,,7.516003711646963,13.586490188880932,18.225976299042284,,11.137,0.004,11.424,0.007,,,3374.0,14.0,26.39,0.2,1.49,0.31,0.0,,,,,,,,,,,,,,,,,,206.0,-0.72,0.24,0.87,0.12,3017363960251927936,2.570694087403599,0.16263506,14.567791,-1.1534248669893645,0.28198826,0.3406692645489129,0.24225657,15.996441,0.0091127353659675,0.71268845,174.0,-10.869926,0.5113281,0.46864626,5177.0,,0.0,0.0,,,,,,,,,651.0,,,,,,0.2727384739617974,0.0130456349690072,-0.7854276624916862,0.1985748358637492,3.7136430843770794,0.2027539349842899,3.932664545813934,0.5250079503487484,11.882412552442473,0.5250969724803132,0.2820906657320186,0.0152396859048208,3.719324429427184,0.1949509415141657,-0.7692368957251912,0.1976747713924388,0.2824926023150946,0.0169721588910389,3.621107331101424,0.2849144046366745,-0.670221837870706,0.2782691167822053,0.2121309779079661,0.0120947937608189,0.1215244290125678,0.0819064194008084,,,,,-0.72,0.24,0.87,0.12,26.49616647003558,0.1541317674378497,389,3,-1.3275792,0.4426448232290987,1.6041582,0.22160878866191205,2.082256003208991,0.3300268860279455,26.577859727049834,0.15581823532829228,0.358121028637672,3.4382532165390405,0.28910312000964244,3.2873039648639852,0.23845617698290242,3.413163564546728,0.28957697113339065,3.559548437073235,0.32369616458991857
248,,,83.81566666666666,-5.394,05 35 15.76,-05 23 38.4,16.0,12.0,14.0,600.0,"[40, 41, 42, 43]","[54, 55, 55, 54]",3380.8579195036345,29.53728541943269,3380.8579195036345,29.53728541943269,4.907438032604821,0.0981123871835771,40.36372719181476,1.2424707548132332,26.46243186980121,26.596279586244584,0.8609189920598492,1.047992968303783,0.0157283144268031,1.3755867284867294,0.0454515204431654,33224.524827886125,5050.127290932367,0.2902433418581027,0.250240923070922,0.2430248828547006,,4.9735658967528025,0.0970144790411455,1.0001664028344532,0.0002280517746768,0.175616999263663,0.0661674929868155,0.2159746718774126,0.0496663500368292,0.0567222998811367,0.0146932918580368,,,-0.1388026407424185,0.0113184264294463,0.0026247655250189,0.0016434168436225,-0.1109466176752884,0.0131331786834968,0.001094908482442,0.0011622435759857,-0.0879165758315518,0.0207947685357091,0.000195532994776,0.0010659653861472,,,,,9.904881117158096,14.624388297314509,16.675397194403256,,11.168,0.014,12.802,0.028,,,3438.0,48.0,26.56,0.78,39.39,3.82,0.35,,,,,,,,,,,,,,,,,,200.0,1.81,0.43,-2.83,0.2,,2.570694087403599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2791406723467409,0.0207764469455328,-0.7700623863678218,0.2125482212956673,3.717484403408045,0.2064169669382731,3.8968122348582495,0.5576125163565568,11.84656024148679,0.5576963340170781,0.2908516054449546,0.0234690697636528,3.721964762180385,0.1951776841089372,-0.7505102387357967,0.2145884868124994,0.2910588090371832,0.0266580484192011,3.631883747650912,0.2917512288823232,-0.6607261548882372,0.2912408068836564,0.2228407990404401,0.0233884179928151,0.1316987590884181,0.100135324255201,,,,,1.81,0.43,-2.83,0.2,26.596279586244584,0.8609189920598492,389,3,3.3373866000000003,0.7932774529729685,-5.218123800000001,0.37096125786766476,6.194107305333515,0.5303669854087557,27.308040082358097,0.8470658406050966,0.38720992489096795,6.251213407129497,0.8824993749992526,6.094713291129834,0.8701786818227706,6.242582962234921,0.8825325521980786,6.368087217980784,0.8943802438559593
