mass_2myr,mass_1myr,mass_3myr,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
0.09,0.09,0.09,2983.6494748020878,2981.2507112792946,2987.1965566995077,3.4466321,3.4168491,3.4975759,-1.202053,-1.173667,-1.2509327
0.1,0.1,0.1,3008.7603691273116,3005.5066968653273,3014.5937887822374,3.4264029,3.3918404,3.4950488,-1.1215071,-1.0888243,-1.186788
0.12,0.12,0.12,3051.702545896833,3046.1192418087116,3066.491039593925,3.3965826,3.3491185,3.5282549,-0.9878871,-0.9436042,-1.1111615
0.14,0.14,0.14,3091.1971191955317,3082.9827872301676,3117.3524020229906,3.3815743,3.3147935,3.6035343,-0.883594,-0.8214357,-1.090917
0.16,0.16,0.16,3131.46238975285,3119.85708334201,3161.756353942704,3.3861552,3.2875213,3.6561683,-0.8077009,-0.7155171,-1.0609893
0.18,0.18,0.18,3173.904097496377,3159.223854582792,3199.624399902421,3.4066063,3.2659923,3.6837293,-0.7536132,-0.6210526,-1.0167154
0.2,0.2,0.2,3223.758498215199,3202.6833352776507,3234.3275492890725,3.4955338,3.2531401,3.7259487,-0.7697084,-0.5387086,-0.9944372
0.22,0.22,0.22,3260.2784998420384,3249.870083420476,3266.543154090024,3.5547106,3.2485487,3.7534802,-0.7679236,-0.4673166,-0.9633584
0.24,0.24,0.24,3294.9854410757252,3299.682853492657,3296.8022658372997,3.5548171,3.2265749,3.753119,-0.7118464,-0.3811295,-0.9091908
0.26,0.26,0.26,3328.6742775662256,3351.015217183928,3327.2872820193707,3.589045,3.2275889,3.7708342,-0.6936409,-0.3205646,-0.8761545
0.28,0.28,0.28,3362.1787581036656,3402.1330976429344,3357.899547840224,3.6179716,3.2387945,3.7869249,-0.6729849,-0.2732858,-0.8441508
0.3,0.3,0.3,3395.9602644795577,3451.5216350065048,3388.9846362893645,3.6431319,3.2654684,3.801833,-0.6508148,-0.2449594,-0.8130878
0.32,0.32,0.32,3430.6878148633873,3494.7346017187383,3420.856054648509,3.6652231,3.3137837,3.8157145,-0.6272031,-0.2436316,-0.7826801
0.34,0.34,0.34,3466.2740830780313,3537.4792412588695,3453.4716883548313,3.6846997,3.365674,3.8285873,-0.6024237,-0.2480741,-0.7527395
0.36,0.36,0.36,3502.7036909600247,3583.6765098023006,3486.615849115043,3.7021056,3.4058761,3.8406435,-0.576844,-0.2409131,-0.7233792
0.38,0.38,0.38,3540.4991951826164,3628.320979842309,3519.9654442550345,3.7177815,3.4380422,3.8519589,-0.5503945,-0.2280903,-0.6946765
0.4,0.4,0.4,3578.6712143840946,3670.8792580750014,3553.4335626765187,3.7317591,3.4644991,3.8624037,-0.5234665,-0.2120132,-0.6664055
0.42,0.42,0.42,3617.917838684542,3712.5122897630426,3587.154646245445,3.7443532,3.4865298,3.872193,-0.4959238,-0.1932635,-0.6385981
0.44,0.44,0.44,3658.3006987219323,3752.640834078214,3622.9521654756154,3.7557779,3.5051656,3.8815443,-0.4678623,-0.1730195,-0.6104959
0.46,0.46,0.46,3697.7887769337717,3790.3202000043552,3660.0532164819965,3.7659409,3.5212692,3.890215,-0.4400692,-0.1524622,-0.5821621
0.48,0.48,0.48,3732.689800117467,3825.913968248962,3696.2164880736004,3.7748754,3.5354987,3.8978577,-0.414201,-0.1319714,-0.5542416
0.5,0.5,0.5,3765.654752739608,3860.2088316201707,3727.514143549716,3.7830864,3.548176,3.9046519,-0.3894088,-0.1114172,-0.5286595
0.52,0.52,0.52,3797.6164505917586,3893.8166694177517,3757.036376293051,3.7907342,3.5596277,3.9110163,-0.365341,-0.0907769,-0.5042859
0.54,0.54,0.54,3829.860011602115,3927.8708538937058,3785.74101258892,3.7979985,3.5701161,3.9171236,-0.3415275,-0.0697481,-0.4807809
0.56,0.56,0.56,3861.9282424665894,3961.8688959571828,3814.880163058661,3.8049652,3.5797286,3.9231495,-0.3182149,-0.0485947,-0.4576925
0.58,0.58,0.58,3893.862395491748,3995.5070379664744,3844.8012973173345,3.8116056,3.5885368,3.9290282,-0.2953096,-0.0274757,-0.4347593
0.6,0.6,0.6,3926.189886335799,4028.736841060776,3874.9098225744265,3.8179805,3.5966394,3.9347367,-0.2725985,-0.0064673,-0.4121938
0.62,0.62,0.62,3958.5104886160057,4061.286242784808,3905.1696012257535,3.8240125,3.6040927,3.9403481,-0.2501483,0.0142988,-0.3900512
0.64,0.64,0.64,3990.4373797692165,4092.9816727690522,3935.8269937924247,3.8296693,3.6107836,3.9456598,-0.2280618,0.0349011,-0.3679906
0.66,0.66,0.66,4021.5632171081174,4123.217077811645,3966.3807347355864,3.8348964,3.6168953,3.9506726,-0.2064272,0.0549388,-0.3462056
0.68,0.68,0.68,4051.8223901674764,4152.324635333809,3996.5541345727265,3.8398227,3.6225761,3.9554492,-0.1853669,0.0744435,-0.3248523
0.7,0.7,0.7,4081.359964335152,4180.6845551446095,4025.742569443001,3.844431,3.6277313,3.9599776,-0.1647679,0.0937016,-0.30415
0.72,0.72,0.72,4110.027237575067,4208.573342538229,4054.195618940483,3.8487301,3.6325334,3.9642394,-0.1446736,0.1126841,-0.2839427
0.74,0.74,0.74,4137.775273262343,4236.290170013016,4082.046052534128,3.8528664,3.6370097,3.9683124,-0.1252216,0.1315104,-0.2642235
0.76,0.76,0.76,4165.026797758515,4263.456144232193,4109.185055689248,3.8568803,3.6411578,3.9722469,-0.1062499,0.1500485,-0.245065
0.78,0.78,0.78,4192.121873672316,4289.878578410751,4135.534040970505,3.860727,3.6449823,3.976056,-0.0875516,0.1682378,-0.2264898
0.8,0.8,0.8,4220.912993013084,4315.578293340947,4162.555144708356,3.8628438,3.6475312,3.9778673,-0.0667828,0.1870601,-0.2059919
0.82,0.82,0.82,4249.4116088643295,4339.8578036904155,4188.4593030609985,3.8663087,3.6507451,3.9815641,-0.0478342,0.2043162,-0.1881879
0.84,0.84,0.84,4277.594375008547,4363.265096704702,4215.262258049191,3.8697379,3.6538612,3.9851563,-0.0293148,0.2210098,-0.170233
0.86,0.86,0.86,4305.000438240577,4385.884595216984,4242.916646580413,3.8729145,3.6568272,3.9886268,-0.0111777,0.2372454,-0.1521251
0.88,0.88,0.88,4330.8445941041155,4407.67333238628,4270.62855906382,3.8758818,3.6597467,3.9919696,0.0062368,0.2529191,-0.1341743
0.9,0.9,0.9,4355.806714149429,4428.660615688518,4298.037496504558,3.8787417,3.662492,3.9950713,0.0231208,0.2681856,-0.1164025
0.92,0.92,0.92,4379.975689355734,4449.051162415445,4323.881667266908,3.8814604,3.6651251,3.9979376,0.0395597,0.2830779,-0.0993092
0.94,0.94,0.94,4403.370210277454,4468.7802605493025,4349.1861865568935,3.8840965,3.6676109,4.0007092,0.0555176,0.2976183,-0.0826039
0.96,0.96,0.96,4426.069203237402,4487.993301007852,4373.794760575324,3.8864437,3.6698924,4.003272,0.0712456,0.3119331,-0.0662219
0.98,0.98,0.98,4448.101615398689,4506.728546227457,4397.8508856000235,3.8888031,3.6721584,4.0057044,0.0864673,0.3258588,-0.0501708
1.0,1.0,1.0,4469.5633788913065,4525.104364666232,4421.625945885052,3.890898,3.6741356,4.0078161,0.1015077,0.3397244,-0.0341428
1.02,1.02,1.02,4490.4844828908335,4543.022628368625,4444.899029828889,3.8929484,3.6760485,4.0099291,0.1161701,0.3532769,-0.0185359
1.05,1.05,1.05,4520.938508266765,4568.988868726571,4479.065361450677,3.8957605,3.6785659,4.012722,0.1376886,0.3732491,0.0045624
1.1,1.1,1.1,4569.4012903769935,4610.001853474812,4533.754503655892,3.8998471,3.6823136,4.016672,0.1723283,0.405229,0.0418982
1.15,1.15,1.15,4615.227354228211,4648.302680776797,4586.089225795073,3.9032502,3.6853443,4.0197606,0.2055654,0.4358768,0.0780527
1.2,1.2,1.2,4654.412818771249,4680.008048953536,4632.233040984674,3.905941,3.6874093,4.0220839,0.2360452,0.4641039,0.1116043
1.25,1.25,1.25,4696.189357425529,4713.903633701019,4682.500150436256,3.9081787,3.6896359,4.0236812,0.2670591,0.4921423,0.1464852
1.3,1.3,1.3,4736.169099724989,4745.845546485111,4731.452669087269,3.9098561,3.6915162,4.0245714,0.2971412,0.5190269,0.1806954
1.35,1.35,1.35,4774.642945684476,4776.091077900839,4779.282476687401,3.911093,3.6930586,4.0248386,0.3263498,0.5449111,0.2142914
1.4,1.4,1.4,4811.864618582911,4804.896088723571,4826.4598748484395,3.9118258,3.694382,4.0243374,0.3549011,0.5698275,0.247651
1.45,1.45,1.45,4848.032248053028,4832.547149687927,4873.107590256654,3.9122085,3.6955185,4.0232941,0.3827669,0.5938991,0.2806431
1.5,1.5,1.5,4883.281947528029,4858.920574479618,4919.74507908392,3.9118782,3.6959692,4.0214093,0.4104057,0.6176266,0.3137977
1.55,1.55,1.55,4917.800423313302,4884.3052744075785,4966.529277904325,3.9116832,3.6973499,4.019207,0.4370777,0.6395386,0.3466822
1.6,1.6,1.6,4951.746462556025,4908.394943076892,5013.047272697253,3.9109185,3.6984538,4.0161415,0.4635805,0.6607694,0.379731
1.65,1.65,1.65,4985.256403361413,4931.196400187237,5059.016548181271,3.9097349,3.6993149,4.0122684,0.4898443,0.6813237,0.4128255
1.7,1.7,1.7,5018.789722828708,4953.401142691328,5105.132284101392,3.9081455,3.6999151,4.0075494,0.516045,0.701493,0.446273
1.75,1.75,1.75,5052.3240743907,4975.244176071805,5151.781082182255,3.9061868,3.7003097,4.0018701,0.5421614,0.7213313,0.4803428
1.8,1.8,1.8,5027.798916036695,4951.235687473202,5144.006397025719,3.8952938,3.6930869,3.9858401,0.5568356,0.7323853,0.5059839
1.85,1.85,1.85,5060.731544534046,4972.489789293685,5193.724394201243,3.8923232,3.6933023,3.9778475,0.583047,0.7515105,0.5425852
1.9,1.9,1.9,5093.703951981715,4993.259075144847,5244.700587708527,3.8887854,3.6933065,3.9683463,0.6094483,0.7703289,0.5806356
1.95,1.95,1.95,5126.8534098188275,5013.611755607348,5297.289402004109,3.8846352,3.6930755,3.9570197,0.6361485,0.7889073,0.6205752
2.0,2.0,2.0,5160.254247586398,5033.602307127114,5352.762816352323,3.8798233,3.6926265,3.9434886,0.6632365,0.8072645,0.6631987
2.05,2.05,2.05,5194.032945369228,5053.271122397165,5408.814659535394,3.8742482,3.6919324,3.927147,0.6908698,0.8254572,0.7083606
2.1,2.1,2.1,5229.1379606824685,5072.681558478906,5469.2943859760435,3.8678238,3.691007,3.9072118,0.7194613,0.843508,0.7580781
2.15,2.15,2.15,5263.29000361316,5091.893364609957,5533.513833529163,3.8604338,3.6898142,3.8824137,0.7483793,0.861487,0.8133741
2.2,2.2,2.2,5299.088832850859,5110.94491241708,5604.612615192911,3.8519149,3.688369,3.8508492,0.7786582,0.8794038,0.8771014
2.25,2.25,2.25,5335.981313247476,5129.8633916935605,5686.829400183862,3.8420597,3.6866461,3.809919,0.8103254,0.897305,0.9530896
2.3,2.3,2.3,5374.195983245093,5148.758239955092,5783.070676918903,3.8305897,3.6846223,3.7583325,0.8437378,0.9152609,1.0433748
2.35,2.35,2.35,5414.136488680673,5167.601314082714,5893.729506930965,3.8171394,3.6822823,3.7017915,0.8793908,0.9332868,1.1421824
2.4,2.4,2.4,5456.329639856666,5186.512154568744,6020.643332041706,3.8011695,3.6796201,3.6499671,0.9179896,0.9514383,1.2401612
2.45,2.45,2.45,5501.601123212756,5205.5017881680815,6174.174503757887,3.7819137,3.6766032,3.6059209,0.9605543,0.9697586,1.336906
2.5,2.5,2.5,5551.201604382281,5224.629520880698,6390.702489092744,3.7582337,3.6731846,3.5758516,1.0085998,0.9883229,1.4356283
2.55,2.55,2.55,5607.128383151009,5243.988130310154,6790.169257392434,3.7285976,3.6693318,3.5872345,1.06425,1.0072004,1.5381736
2.6,2.6,2.6,5672.451613454272,5263.643895364661,7420.363833090299,3.6911085,3.6650165,3.6435131,1.1302934,1.0264483,1.6445065
2.65,2.65,2.65,5749.741236784447,5283.710327879052,8198.101670326561,3.6455555,3.6601765,3.7170158,1.2076289,1.0461706,1.7524287
2.7,2.7,2.7,5838.521717651734,5304.25140389268,9128.371365917663,3.5966539,3.6547104,3.8085676,1.291267,1.0664953,1.8557149
2.75,2.75,2.75,5938.962731809581,5325.386095370075,10139.823605848898,3.5517613,3.648547,3.9191469,1.3737592,1.0875355,1.9356528
2.8,2.8,2.8,6055.39949100116,5347.400348223344,10819.323338517555,3.5125951,3.6415788,4.0372045,1.4544794,1.1094956,1.9380994
2.85,2.85,2.85,6204.283009280902,5370.547969049872,10755.31662311804,3.4803384,3.633598,4.1262533,1.5366182,1.1326669,1.8464297
2.9,2.9,2.9,6427.68965841641,5394.7285885569045,10652.104050338025,3.4637296,3.6244142,4.1653776,1.6222335,1.1572076,1.7981075
2.95,2.95,2.95,6831.791443139349,5420.736538702722,10868.639901529463,3.486838,3.613669,4.1717571,1.7124678,1.1837315,1.834111
3.0,3.0,3.0,7349.055040064935,5446.015837839988,11296.84578046338,3.5302876,3.6007198,4.1803483,1.8031051,1.2120626,1.8999473
3.05,3.05,3.05,7925.699459964892,5470.075239686946,11901.036851868661,3.5797165,3.58573,4.2024107,1.8920789,1.2418883,1.9755738
3.1,3.1,3.1,8607.251637947598,5496.289502928372,12684.44296460505,3.6395311,3.5688499,4.2420357,1.9826338,1.2741354,2.0537569
3.15,3.15,3.15,9408.37241700419,5525.32718394968,13246.2546561182,3.7113899,3.5495178,4.2923147,2.0723239,1.30957,2.0857138
3.2,3.2,3.2,10329.533298884977,5557.964902982766,13325.162072273566,3.7968751,3.5271168,4.3277976,2.1559431,1.3490419,2.0673878
