mass_2myr,mass_1myr,mass_3myr,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
0.085,0.085,0.085,2732.0189034464047,2726.8773211021808,2738.0495297007183,3.4313961,3.410303,3.4559299,-1.364697,-1.3468762,-1.3854005
0.09,0.09,0.09,2748.2643227496615,2743.140170549385,2754.7760590256526,3.4189797,3.3972931,3.4464829,-1.3171578,-1.298713,-1.3405499
0.1,0.1,0.1,2780.3073000671247,2775.1342665292323,2787.9090393343185,3.3973696,3.3735299,3.4321061,-1.2296532,-1.2090483,-1.2596464
0.12,0.12,0.12,2842.2220212856882,2837.1839867679405,2851.308442547422,3.3642486,3.3326217,3.4216616,-1.0790898,-1.0505451,-1.1309583
0.14,0.14,0.14,2903.314612986604,2899.9132078705043,2913.1590735519576,3.3436633,3.2998709,3.4474348,-0.9546135,-0.9128577,-1.0525047
0.16,0.16,0.16,2957.658311832885,2969.904606647084,2971.5271319520175,3.3356604,3.2746456,3.5264811,-0.8564031,-0.7882101,-1.0390969
0.24,0.24,0.24,3121.1834829616223,3077.4570465319853,3140.7191314217803,3.4578503,3.2074587,3.6755459,-0.7090165,-0.4831341,-0.9158728
0.28,0.26,0.28,3199.735649688875,3105.1493964393444,3201.038517793739,3.5556643,3.1962497,3.7272857,-0.6967045,-0.421601,-0.8676188
0.3,0.28,0.3,3214.792896298955,3219.272205501128,3232.0881727226274,3.5442215,3.2168513,3.7210178,-0.6471428,-0.3473169,-0.8146183
0.32,0.3,0.32,3224.9100077511475,3235.890373306333,3260.0427864069943,3.5845448,3.2058995,3.7421876,-0.6539789,-0.2974575,-0.7927991
0.34,0.32,0.34,3220.33683778259,3303.096790576213,3280.5578455066848,3.5858117,3.2423318,3.7411597,-0.6313824,-0.270151,-0.7545447
0.38,0.34,0.38,3350.706591489467,3182.5343513551707,3309.4330521832712,3.6105221,3.2497785,3.7578809,-0.5388474,-0.315862,-0.7077377
0.42,0.36,0.42,3344.1296003892016,3286.034357974082,3496.060986403674,3.6306026,3.2807445,3.7796741,-0.5188757,-0.2664082,-0.5907636
