mass,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
0.1,2976.9238816249667,2969.512597324119,2982.6439866385094,3.597983694197065,3.4556036821296163,3.7724269902686016,-1.310121151185168,-1.1720712755319411,-1.48122974657333
0.15,3113.908361679616,3098.7704239309874,3120.731087043228,3.6552738741561104,3.394028527205869,3.810160316668967,-1.1131677346568734,-0.8603879978114324,-1.2642521426551256
0.2,3221.9571183337425,3225.744994683331,3220.524262973748,3.688400259867888,3.4055525491403236,3.829165137117389,-0.9620997068034228,-0.6772108120877341,-1.103637345677731
0.25,3313.3902042132477,3327.6658688610833,3306.3209273960238,3.709653088386088,3.4526989466324642,3.8423275518572253,-0.8378312371332811,-0.5734085105743816,-0.9742160493676292
0.3,3395.9667817498344,3412.0610902327044,3388.413703623976,3.7247218643377287,3.4842369770046617,3.852863714521613,-0.7309553904604437,-0.48225697715108484,-0.8629652921869149
0.31,3415.6522576658485,3431.0235761761955,3408.7349194411227,3.7194769844195004,3.482576470150543,3.8461276773090622,-0.701429209450649,-0.4567284178247516,-0.8316016167470408
0.32,3432.467775460344,3448.3231718636193,3426.1672113218387,3.7290091187578573,3.494085031124553,3.8555578909879626,-0.6886417877002698,-0.4457116676464464,-0.8183822516967025
0.33,3449.0803613777557,3466.2335064193853,3442.395919155657,3.7354634725205376,3.502863464755201,3.8614750125711415,-0.6733448064367813,-0.4321267229784337,-0.8027263615774218
0.34,3466.3929430390135,3484.3905583196974,3459.5709970539306,3.7390536654064537,3.5088712270014053,3.8643492753387063,-0.6552721114647786,-0.4160934637164183,-0.7839899332942457
0.35,3483.5465199451,3502.715070523229,3476.3467129463356,3.7425869002807324,3.5146944492930334,3.8671841454096505,-0.6376409320379324,-0.40021563238913405,-0.765832332995917
