HC2000,Laser Guide Star,LGS RA/DEC,Sep(arcsec),"rmag, b-v, b-r"
435,V1333 Ori,05 35 17.00 -05 22 32.9,12.802177603996844,rmag=13.4 b-v=1.13 b-r=2.23
457,V1333 Ori,05 35 17.00 -05 22 32.9,4.199584073313304,rmag=13.4 b-v=1.13 b-r=2.23
484,COUP 832,05 35 16.84 -05 22 22.9,0.9812735384314508,rmag=13.5 b-v=1.24 b-r=2.76
479,COUP 832,05 35 16.84 -05 22 22.9,7.991137899272559,rmag=13.5 b-v=1.24 b-r=2.76
490,V1331 Ori,05 35 15.34 -05 22 15.5,10.693396899273315,rmag=13.1 b-v=1.30 b-r=2.68
478,V1331 Ori,05 35 15.34 -05 22 15.5,8.816414740847813,rmag=13.1 b-v=1.30 b-r=2.68
476,V1331 Ori,05 35 15.34 -05 22 15.5,9.701149558849858,rmag=13.1 b-v=1.30 b-r=2.68
456,COUP 648,05 35 14.64 -05 22 33.7,6.475648801068581,rmag=13.4 b-v=1.11 b-r=2.49
453,COUP 648,05 35 14.64 -05 22 33.7,3.974673428871502,rmag=13.4 b-v=1.11 b-r=2.49
438,COUP 648,05 35 14.64 -05 22 33.7,8.710622714807327,rmag=13.4 b-v=1.11 b-r=2.49
530,COUP 669,05 35 14.99 -05 21 59.9,9.596008681040265,rmag=13.4 b-v=1.08 b-r=2.19
483,V1496 Ori,05 35 13.79 -05 22 07.0,15.011890157976582,rmag=13.6 b-v=1.20 b-r=2.58
495,V1496 Ori,05 35 13.79 -05 22 07.0,13.22946782449512,rmag=13.6 b-v=1.20 b-r=2.58
487,V1496 Ori,05 35 13.79 -05 22 07.0,16.870952995451574,rmag=13.6 b-v=1.20 b-r=2.58
471,V1496 Ori,05 35 13.79 -05 22 07.0,20.198569476429903,rmag=13.6 b-v=1.20 b-r=2.58
404,V1487 Ori,05 35 10.51 -05 22 45.5,17.838123517041428,rmag=13.5 b-v=1.08 b-r=2.40
360,COUP 682,05 35 15.18 -05 22 54.5,26.592687572128344,rmag=12.9 b-v=1.07 b-r=2.24
345,COUP 689,05 35 15.27 -05 22 56.8,18.26265820798854,rmag=12.4 b-v=0.90 b-r=1.97
369,COUP 689,05 35 15.27 -05 22 56.8,10.310047995421836,rmag=12.4 b-v=0.90 b-r=1.97
238,LV Ori,05 35 12.60 -05 23 44.1,13.625698724163737,rmag=12 b-v=0.95 b-r=1.86
266,V1398 Ori,05 35 13.44 -05 23 40.2,9.396616397009302,rmag=13.7 b-v=0.85 b-r=2.09
247,COUP 602,05 35 14.04 -05 23 38.3,0.2496020288969008,rmag=13.7 b-v=1.2  b-r=2.58
287,COUP 746,05 35 15.83 -05 23 22.4,4.223826832245706,rmag=12.9 b-v-1.10 b-r=1.85
296,COUP 746,05 35 15.83 -05 23 22.4,4.056556727344445,rmag=12.9 b-v-1.10 b-r=1.85
172,COUP 726,05 35 15.62 -05 24 03.1,0.0,rmag=13.5 b-v=1.08 b-r=2.30
157,COUP 726,05 35 15.62 -05 24 03.1,13.830987053713898,rmag=13.5 b-v=1.08 b-r=2.30
154,COUP 726,05 35 15.62 -05 24 03.1,14.220161894461114,rmag=13.5 b-v=1.08 b-r=2.30
132,V1494 Ori,05 35 13.61 -05 24 25.8,0.0,rmag=14.1 b-v=0.8 b-r=3.1
138,COUP 748,05 35 15.90 -05 24 17.6,21.496846477063045,rmag=13.62 b-v=1.20 b-r=2.36
137,COUP 748,05 35 15.90 -05 24 17.6,7.287546650445488,rmag=13.62 b-v=1.20 b-r=2.36
159,COUP 748,05 35 15.90 -05 24 17.6,6.7919197302650645,rmag=13.62 b-v=1.20 b-r=2.36
171,COUP 726,05 35 15.62 -05 24 03.1,11.35335376969407,rmag=13.5 b-v=1.08 b-r=2.30
165,COUP 726,05 35 15.62 -05 24 03.1,14.646592624943466,rmag=13.5 b-v=1.08 b-r=2.30
170,AC Ori,05 35 15.99 -05 23 52.9,16.29839945928993,rmag=13.6 b-v=1.20 b-r=2.48
239,COUP 847,05 35 16.97 -05 23 37.0,6.947107227039688,rmag=13.5 b-v=0.45 b-r=1.44
177,V2325 Ori,05 35 18.20 -05 23 35.9,25.363385795948957,rmag=12.7 b-v=1.00 b-r=2.22
163,V2325 Ori,05 35 18.20 -05 23 35.9,31.379832862871435,rmag=12.7 b-v=1.00 b-r=2.22
197,V494 Ori,05 35 21.81 -05 23 54.0,1.9176166685089624,rmag=12.6 b-v=1.04 b-r=1.92
277,V1399 Ori,05 35 21.05 -05 23 49.0,21.216039099190656,rmag=11.5 b-v=0.86 b-r=1.73
