HC2000,Laser Guide Star,LGS RA/DEC,Sep(arcsec),"rmag, b-v, b-r"
546,COUP 669,05 35 14.99 -05 21 59.9,0.17973084853422258,rmag=13.4 b-v=1.08 b-r=2.19
530,COUP 669,05 35 14.99 -05 21 59.9,9.596008681040265,rmag=13.4 b-v=1.08 b-r=2.19
490,V1331 Ori,05 35 15.34 -05 22 15.5,10.693396899273315,rmag=13.1 b-v=1.30 b-r=2.68
479,COUP 832,05 35 16.84 -05 22 22.9,7.991137899272559,rmag=13.5 b-v=1.24 b-r=2.76
457,V1333 Ori,05 35 17.00 -05 22 32.9,4.199584073313304,rmag=13.4 b-v=1.13 b-r=2.23
277,V1399 Ori,05 35 21.05 -05 23 49.0,21.216039099190656,rmag=11.5 b-v=0.86 b-r=1.73
435,V1333 Ori,05 35 17.00 -05 22 32.9,12.802177603996844,rmag=13.4 b-v=1.13 b-r=2.23
478,V1331 Ori,05 35 15.34 -05 22 15.5,8.816414740847813,rmag=13.1 b-v=1.30 b-r=2.68
456,COUP 648,05 35 14.64 -05 22 33.7,6.475648801068581,rmag=13.4 b-v=1.11 b-r=2.49
453,COUP 648,05 35 14.64 -05 22 33.7,3.974673428871502,rmag=13.4 b-v=1.11 b-r=2.49
438,COUP 648,05 35 14.64 -05 22 33.7,8.710622714807327,rmag=13.4 b-v=1.11 b-r=2.49
483,V1496 Ori,05 35 13.79 -05 22 07.0,15.011890157976582,rmag=13.6 b-v=1.20 b-r=2.58
495,V1496 Ori,05 35 13.79 -05 22 07.0,13.22946782449512,rmag=13.6 b-v=1.20 b-r=2.58
487,V1496 Ori,05 35 13.79 -05 22 07.0,16.870952995451574,rmag=13.6 b-v=1.20 b-r=2.58
471,V1496 Ori,05 35 13.79 -05 22 07.0,20.198569476429903,rmag=13.6 b-v=1.20 b-r=2.58
