#,H#,K,itime
69,457,11.528,750
64,479,12.004,900
55,490,9.851,300
36,478,10.34,420
33,456,11.969,900
26,453,11.1,600
16,438,9.837,300
7,471,11.55,750
6,487,10.336,420
9,495,10.321,420
13,483,9.587,300
20,530,11.895,900
2,404,11.944,900
10,360,12.336,1200
18,345,10.392,420
22,369,11.116,600
48,287,9.817,300
58,296,12.818,1200
79,239,12.145,900
43,172,9.793,300
15,247,9.732,300
11,266,11.221,600
3,238,11.358,600
12,132,11.278,600
27,157,10.971,600
29,154,11.068,600
47,137,11.559,750
59,159,11.375,750
66,171,8.61,120
68,165,10.646,450
70,170,8.5,120
78,138,12.748,1200
86,177,10.326,420
90,163,10.478,420
102,197,10.989,600
