Kmag,itime
9.1,300
4.416,4
9.435,300
7.74,60
12.818,1200
8.37,180
7.811,90
9.314,300
7.13,60
8.79,300
7.938,90
9.1,300
4.416,4
8.37,180
9.314,300
10.15,600
11.137,900
11.168,600
10.918,600
11.514,900
9.517,180
9.386,180
11.221,600
9.732,180
9.469,180
8.648,90
9.72,180
11.358,900
7.89,60
9.002,90
12.145,1200
10.191,300
10.541,420
11.899,1200
10.392,420
12.336,1500
11.116,600
11.944,1200
11.55,900
9.587,180
10.321,300
10.336,300
9.837,300
8.66,90
10.501,450
9.687,180
9.87,180
10.563,450
7.635,60
9.342,180
9.096,120
11.181,600
10.501,450
9.687,180
9.87,180
10.563,450
7.635,60
9.342,180
9.096,120
7.58,60
8.704,90
10.521,450
8.55,90
10.473,450
10.678,450
7.898,60
6.4,30
11,600
6.9,60
9.831,180
9.189,180
8.62,90
11.046,600
10.638,450
11.528,750
9.674,180
8.521,90
10.267,450
10.182,450
9.336,180
9.162,180
11.228,600
9.738,180
7.989,120
8.115,120
8.62,120
9.53,180
10.22,450
10.207,450
10.498,450
10.751,450
7.924,120
9.319,180
12.107,600
12.632,600
10.493,450
8.79,120
11.322,600
8.46,120
9.319,180
10.085,450
10.478,450
10.326,450
12.145,600
8.521,90
9.674,180
11.528,750
11.046,600
9.515,180
11.116,600
10.392,450
12.336,1200
8.648,120
9.72,180
9.732,180
8.509,120
9.841,120
8.5,120
9.793,180
9.131,180
8.61,120
