#,H#,RA,Dec,K,H,TobinRV,dRV,Mass(daRio12),OurRV,dOurRv(9Mar2016)
1,224,05 35 10.74,-05 23 44.7,7.89,8.12,,,1.185,,
2,404,05 35 11.63,-05 22 51.7,11.944,12.223,,,0.119,,
3,238,05 35 11.72,-05 23 40.5,11.358,11.703,,,0.113,,
4,215,05 35 12.28,-05 23 48.1,9.720,10.027,27.9,0.4,1.040,,
5,228,05 35 12.60,-05 23 44.2,8.648,9.229,25.2,1.3,1.782,,
6,487,05 35 13.18,-05 22 21.2,10.336,11.382,,,0.421,,
7,471,05 35 13.37,-05 22 26.2,11.550,12.270,,,0.290,,
8,240,05 35 13.45,-05 23 40.4,9.469,10.497,,,,,
9,495,05 35 13.52,-05 22 19.6,10.321,10.927,,,0.670,,
10,360,05 35 13.53,-05 23 04.5,12.336,12.799,,,,,
11,266,05 35 13.53,-05 23 30.9,11.221,11.536,,,,,
12,132,05 35 13.61,-05 24 25.8,11.278,11.561,,,0.790,,
13,483,05 35 13.75,-05 22 22.0,9.587,10.328,,,0.738,,
14,703,05 35 13.80,-05 22 07.1,9.325,9.856,,,0.664,,
15,247,05 35 14.05,-05 23 38.5,9.732,9.930,,,0.485,,
16,438,05 35 14.09,-05 22 36.6,9.837,10.243,,,0.485,,
17,135,05 35 14.28,-05 24 24.7,9.131,9.543,0,0,,,
18,345,05 35 14.32,-05 23 08.3,10.392,11.311,,,,,
19,258,05 35 14.40,-05 23 33.7,9.386,9.858,0,0,0.850,,
20,530,05 35 14.53,-05 22 06.6,11.895,12.233,,,0.290,,
21,443,05 35 14.66,-05 22 33.8,9.195,9.536,,,1.270,,
22,369,05 35 14.67,-05 23 01.9,11.116,11.487,,,0.431,,
23,302,05 35 14.72,-05 23 22.9,10.541,11.422,,,,,
24,220,05 35 14.82,-05 23 46.5,11.514,11.864,,,,,
25,324,05 35 14.84,-05 23 16.0,11.899,12.060,,,,30.8,0.2
26,453,05 35 14.87,-05 22 31.7,11.100,11.583,,,0.500,,
27,157,05 35 14.90,-05 24 11.8,10.971,11.408,,,0.083,,
28,431,05 35 14.92,-05 22 39.1,8.66,9.273,,,0.697,,
29,154,05 35 14.93,-05 24 12.9,11.068,11.174,,,0.313,,
30,275,05 35 14.93,-05 23 29.1,10.191,10.863,,,0.329,,
31,245,05 35 14.95,-05 23 39.3,9.517,9.818,,,,,
32,546,05 35 15.00,-05 22 00.0,9.841,10.027,,,0.743,,
33,456,05 35 15.04,-05 22 31.2,11.969,12.448,,,0.058,,
34,219,05 35 15.16,-05 23 46.7,10.918,11.490,,,,25.20,0.51
35,398,05 35 15.20,-05 22 54.4,8.62,9.365,,,0.810,,
36,478,05 35 15.21,-05 22 24.1,10.340,10.797,,,1.106,,
37,386,05 35 15.27,-05 22 56.7,9.189,9.504,,,1.398,,
38,504,05 35 15.35,-05 22 15.6,8.509,9.208,22.8,3.5,0.712,,
39,476,05 35 15.35,-05 22 25.2,10.053,11.038,,,0.343,,
40,261,05 35 15.38,-05 23 33.4,11.137,11.424,,,,26.67,0.62
41,223,05 35 15.44,-05 23 45.5,9.880,10.463,,,,27.49,0.12
42,413,05 35 15.49,-05 22 48.6,9.831,10.204,,,0.660,,
43,172,05 35 15.62,-05 24 03.1,9.793,10.111,22.1,35.6,1.067,,
44,389,05 35 15.64,-05 22 56.4,7.898,8.452,,,2.237,,
45,248,05 35 15.76,-05 23 38.4,11.168,12.802,,,,30.12,0.89
46,344,05 35 15.77,-05 23 09.9,6.90,7.15,,,6.000,1,1
47,137,05 35 15.79,-05 24 24.7,11.559,12.207,,,,,
48,287,05 35 15.80,-05 23 26.6,9.817,10.847,,,,,
49,420,05 35 15.84,-05 22 45.9,10.678,10.804,,,0.429,,
50,306,05 35 15.84,-05 23 22.5,8.37,9.711,,,1.253,30.04,0.57
51,291,05 35 15.84,-05 23 25.6,10.395,11.064,,,,20.33,0.44
52,370,05 35 15.88,-05 23 02.0,9.831,10.320,,,,,
53,250,05 35 15.90,-05 23 38.0,12.144,12.803,,,,30.10,0.72
54,145,05 35 15.91,-05 24 17.9,12.932,13.724,,,,,
55,490,05 35 15.95,-05 22 21.1,9.851,10.949,,,1.061,,
56,213,05 35 15.95,-05 23 49.9,7.13,7.75,,,2.313,,
57,202,05 35 16.00,-05 23 53.0,9.002,9.807,,,1.467,,
58,296,05 35 16.07,-05 23 24.3,12.818,14.713,,,,,
59,159,05 35 16.10,-05 24 11.5,11.375,11.731,,,,,
60,354,05 35 16.11,-05 23 06.8,6.43,6.55,,,,1,1
61,435,05 35 16.20,-05 22 37.5,11.046,11.646,,,,,
62,322,05 35 16.29,-05 23 16.6,9.435,9.982,,,,25.47,0.56
63,522,05 35 16.29,-05 22 10.4,10.430,11.716,,,0.442,,
