HC2000,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,year,month,day,itime,sci_frames,tel_frames,teff,teff_e,vsini,vsini_e,rv,rv_helio,rv_e,airmass,airmass_e,pwv,pwv_e,veiling,veiling_e,veiling_param_O32,veiling_param_O33,veiling_param_O35,lsf,lsf_e,noise,noise_e,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O35,model_std_O35,wave_offset_O32,wave_offset_O32_e,wave_offset_O33,wave_offset_O33_e,wave_offset_O35,wave_offset_O35_e,snr_O32,snr_O33,snr_O35,Kmag,Kmag_e,Hmag,Hmag_e
322,83.81787499999999,-5.387944444444445,05 35 16.29,-05 23 16.6,15,12,23,300.0,"[75, 76, 77, 78]","[79, 80, 80, 79]",3389.5957767703494,24.32648709912337,37.51941299766395,0.688874035045167,28.459075561085744,24.655462939724366,0.608751802017947,1.005053601352833,0.005508648489472301,4.074237706389437,0.056164637603308254,7990.808460666276,3290.468647663757,0.06928547658738533,0.05977098204351548,,4.942873046902593,0.0852435171721222,2.328187447730147,0.037131136421718614,0.8942828080634491,0.3378629961786137,2.0148904859806533,0.4459559946490989,,,-0.05289406685409766,0.006786069531211615,0.3676351943042852,0.011290568943438495,,,47.938298851108584,72.80760030242064,,9.435,0.004,9.982,0.004
296,83.81695833333332,-5.390083333333334,05 35 16.07,-05 23 24.3,15,12,23,1200.0,"[81, 82, 83, 84]","[79, 80, 80, 79]",3681.8770331093183,1807.8909288784043,56.890505360788154,30.47207089953998,26.760870770076956,22.827646525233327,63.68388653560733,1.25328892106948,0.14888892400749976,1.1542106855099,0.6991507922164734,255655.26047308903,222614.66763819364,1.7908450374742302,1.558163590066688,,12.675381888161072,4.827084625727803,1.0013643073403797,0.001361758800585089,0.009782560575040442,0.012832780646894464,0.015911528029605784,0.005146357921578827,,,0.5005422382403767,0.3127916737110863,0.349120047951052,0.31827167615580687,,,1.6120174161684182,3.1864335534082615,,12.818,0.067,14.713,0.222
259,83.821125,-5.392777777777778,05 35 17.07,-05 23 34.0,15,12,23,90.0,"[87, 88, 89, 90]","[95, 96, 96, 95]",3446.807740934265,37.802212421707964,33.13691496848563,1.1753058685404447,32.075437838397875,27.940881472914544,0.6744450260217487,1.3572615651252324,0.012724557679705373,2.411984030390696,0.04618638609252468,68138.4244132636,7186.272727154432,0.5650025972210012,0.4885983375314404,,4.8898838890180505,0.08246195606212448,1.952138576714363,0.030116134477112255,1.684901190696932,0.6309588246515958,3.5221455969952924,0.7537678025215949,,,-0.028395254064245222,0.0060844843452095496,0.4599735284199086,0.008406195424214696,,,40.22420868417248,61.534758804910695,,,,,
213,83.81645833333332,-5.397194444444445,05 35 15.95,-05 23 49.9,15,12,23,60.0,"[91, 92, 93, 94]","[95, 96, 96, 95]",3157.1401133300333,145.37811967210496,24.167358099396452,4.656625838688395,15.486157121267938,11.328412053721706,3.0009182952037117,1.4229148326774936,0.017535011948298096,2.3103153279005033,0.07344094322644157,504389.7771100982,119503.4030338088,5.403425812686273,4.588666259836807,,5.016247091674055,0.09491595400153408,2.2251136991196345,0.04102679189868552,1.5251807090717762,0.552583638264986,1.3634875268198172,0.38965536619096747,,,-0.07138072209956843,0.007055505053009434,0.42817262184838134,0.009958546586602751,,,45.92198154097064,65.64897419465308,,,,,
306_A,83.81599999999999,-5.389583333333333,05 35 15.84,-05 23 22.5,15,12,24,180.0,"[40, 41, 42, 43]","[44, 45, 45, 44]",3611.7286635477376,86.74313255253037,31.49234418614823,1.8731591943517643,31.44935462157693,27.525941198980707,1.0085451769924436,1.1667520950457027,0.011517136958036689,2.054388655329385,0.040617588332590104,133669.39413516276,20221.653862649495,0.9828791066512365,0.853915751216563,,5.14415865584012,0.08925444572525887,2.989768622891867,0.05026376176888392,1.5118945138703577,0.5242333120486798,2.5599397302449844,0.5347199952903886,,,-0.018773590971517918,0.006813450720738796,0.11841148983835625,0.011661652827310333,,,57.56828991661315,81.29494298140274,,,,9.711,0.005
306_B,83.81599999999999,-5.389583333333333,05 35 15.84,-05 23 22.5,15,12,24,180.0,"[40, 41, 42, 43]","[44, 45, 45, 44]",3454.9772636693338,60.084417732664406,35.83686582749166,1.9953811065943086,27.688220548039055,23.764807125442832,1.2221709641429754,1.3734972258690745,0.022696013605394416,2.528112346347611,0.08163658459494094,102354.69756171014,15052.082034261715,0.8433277980208956,0.7295243054306485,,5.778906331313738,0.10264391671490891,3.1848201187774987,0.055624091005292975,0.7171358217171813,0.30585660784014956,2.0176141042751556,0.4482780730091323,,,-0.29600789187887466,0.011014655278543478,-0.0468417418969634,0.012080959714031038,,,47.66809900278138,67.98606384717647,,,,9.711,0.005
291_A,83.81599999999999,-5.390444444444445,05 35 15.84,-05 23 25.6,15,12,24,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3791.2050343041656,1178.6152855074317,51.81362544458874,34.07257297202397,10.54210855767726,6.546208314907295,66.62130510503675,1.2833662275938398,0.08177180323854705,2.1764288884443097,0.15220460450099793,45392050.90019151,56684062.8954667,1.126244587273011,1.0015925646745998,211.9215520316582,5.019144207602484,0.3367291066779936,3.1492333352272084,0.0724052158624493,0.3720290896505132,0.1279183283281055,0.21133082747816534,0.053515461088228564,0.09306322134345812,0.0369157958476864,0.12505772170560053,0.009230771140714952,0.6144188079074415,0.010589162025198828,0.9962235386295158,0.0045707992776680695,58.873240876906266,82.58852236864527,94.1121233251649,10.395,0.01,11.064,0.01
291_B,83.81599999999999,-5.390444444444445,05 35 15.84,-05 23 25.6,15,12,24,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3170.5177342915863,29.728872221420943,16.399557251891032,0.6523473885776845,33.08431695831627,29.08841671554631,0.38962264381085276,1.1346068693913105,0.013966047157379258,2.076343568118026,0.05388139172800943,41579.479669633394,3831.7023131048954,0.43944813662518073,0.3736688037959503,,4.7153269513052765,0.09020360079135514,2.553571998598806,0.040725411643939946,0.3747798859043239,0.1414534538431163,0.823385487909249,0.18103571253097375,,,0.14001683858581546,0.009431324529462493,0.7327792363318928,0.010466631101503088,,,43.07149668396261,65.96194676553476,,10.395,0.01,11.064,0.01
252,83.82074999999999,-5.393638888888889,05 35 16.98,-05 23 37.1,15,12,24,300.0,"[52, 53, 54, 55]","[50, 51, 51, 50]",3113.4466789569524,134.5897704624574,16.683717798933333,3.2970822546225307,28.573112358441488,24.474037169382658,1.6020533982679357,1.0264103287293456,0.011206885622316753,2.0553185042430386,0.04869707859560313,560125.9920679498,113767.25223668103,6.264578448822458,5.305448423316761,,4.940600693051165,0.10924484275773683,2.7810910938440463,0.05148231630249889,0.3738937380781344,0.1870232191849757,0.3785301312329956,0.12178394028484199,,,0.007288825955892922,0.00954982513247543,-0.12018302897198355,0.01326293614511493,,,59.03977251108325,82.3364432372331,,9.314,0.005,10.238,0.004
250,83.81624999999998,-5.393888888888889,05 35 15.90,-05 23 38.0,15,12,24,1200.0,"[56, 57, 58, 59]","[60, 61, 61, 60]",2996.0365239755247,57.235562307505006,15.724869410421576,0.829010746320666,34.133417881891205,29.90916896645012,0.46937534755636534,1.0094495850324834,0.009367660272202039,1.972877872370741,0.07617782312398758,33663.20665857334,4119.399471842491,0.4219824847325417,0.3553209337182542,,4.68201586145412,0.14061394029202923,1.0646219367871605,0.01681522758259424,0.088680273312579,0.03043291471844936,0.135593416725803,0.031730612896884856,,,-0.03349890284284524,0.014212271585443397,0.16540094894774246,0.014819293033842579,,,12.392070804933997,20.6913772981623,,12.144,0.008,12.803,0.006
