Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1-11  A11    ---    HC2000 ID     Identifier in [HC2000], Hillenbrand &
                                  Carpenter (2000) [2000ApJ...540..236H]
13-23  A11    ---    Obs Time      Observation Date
   25  I1     ---    No. of Frames [2/6] Number of Frames
27-30  I4     s      Int. Time     [60/1200] Integration Time of each frame
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
HC2000 322  2015 Dec 23 4  300
HC2000 296  2015 Dec 23 4 1200
HC2000 259  2015 Dec 23 4   90
HC2000 213  2015 Dec 23 4   60
HC2000 306A 2015 Dec 24 4  180
HC2000 306B 2015 Dec 24 4  180
HC2000 291A 2015 Dec 24 4  600
HC2000 291B 2015 Dec 24 4  600
HC2000 252  2015 Dec 24 4  300
HC2000 250  2015 Dec 24 4 1200
HC2000 244  2015 Dec 24 4  600
HC2000 261  2015 Dec 24 4  900
HC2000 248  2016 Dec 14 4  600
HC2000 223  2016 Dec 14 4  300
HC2000 219  2016 Dec 14 4  600
HC2000 324  2016 Dec 14 3 1200
HC2000 295  2018 Feb 11 4  450
HC2000 313  2018 Feb 11 4  180
HC2000 332  2018 Feb 11 4  300
HC2000 331  2018 Feb 11 4  450
HC2000 337  2018 Feb 11 4   60
HC2000 375  2018 Feb 11 4  180
HC2000 388  2018 Feb 11 4  120
HC2000 425  2018 Feb 12 4   60
HC2000 713  2018 Feb 12 4   90
HC2000 408  2018 Feb 12 4  450
HC2000 410  2018 Feb 12 4  600
HC2000 436  2018 Feb 12 4   90
HC2000 442  2018 Feb 13 4  450
HC2000 522A 2019 Jan 12 4  450
HC2000 522B 2019 Jan 12 4  450
HC2000 145  2019 Jan 12 4  600
HC2000 202  2019 Jan 12 4  120
HC2000 188  2019 Jan 12 4  600
HC2000 302  2019 Jan 13 4  450
HC2000 275  2019 Jan 13 2  450
HC2000 245  2019 Jan 13 4  180
HC2000 258  2019 Jan 13 4  180
HC2000 220  2019 Jan 13 4  600
HC2000 370  2019 Jan 16 4  180
HC2000 389  2019 Jan 16 4  120
HC2000 386  2019 Jan 16 4  120
HC2000 398  2019 Jan 16 4  120
HC2000 413  2019 Jan 16 4  180
HC2000 253  2019 Jan 16 4  120
HC2000 288  2019 Jan 17 4  450
HC2000 420  2019 Jan 17 4  450
HC2000 412  2019 Jan 17 4  450
HC2000 282  2019 Jan 17 4  450
HC2000 217  2019 Jan 17 4  180
HC2000 217  2020 Jan 18 4  120
HC2000 229  2020 Jan 18 4  450
HC2000 228  2020 Jan 19 4  120
HC2000 224  2020 Jan 19 4   90
HC2000 135  2020 Jan 19 4  180
HC2000 440  2020 Jan 20 4  120
HC2000 450  2020 Jan 20 4  300
HC2000 277  2020 Jan 20 4  300
HC2000 204  2020 Jan 20 4  300
HC2000 229  2020 Jan 20 4  450
HC2000 214  2020 Jan 20 4  450
HC2000 215  2020 Jan 21 4  300
HC2000 240  2020 Jan 21 4  300
HC2000 546  2020 Jan 21 4  300
HC2000 504  2020 Jan 21 4  120
HC2000 703  2020 Jan 21 4  300
HC2000 431  2020 Jan 21 4  120
HC2000 229  2020 Jan 21 3  450
HC2000 484  2021 Feb 1  4  300
HC2000 476  2021 Feb 1  6  300
HC2000 546  2021 Oct 20 4  300
HC2000 217  2021 Oct 20 4  120
HC2000 277  2021 Oct 20 2  600
HC2000 435  2021 Oct 20 3  600
HC2000 457  2022 Jan 18 4  750
HC2000 479  2022 Jan 18 4  900
HC2000 490  2022 Jan 18 4  300
HC2000 478  2022 Jan 18 4  420
HC2000 456  2022 Jan 18 4  900
HC2000 170  2022 Jan 18 4  120
HC2000 453  2022 Jan 19 4  600
HC2000 438  2022 Jan 19 4  300
HC2000 530  2022 Jan 19 4  900
HC2000 287  2022 Jan 19 4  300
HC2000 171  2022 Jan 19 4  120
HC2000 238  2022 Jan 20 4  600
HC2000 266  2022 Jan 20 4  600
HC2000 247  2022 Jan 20 4  300
HC2000 172  2022 Jan 20 4  300
HC2000 165  2022 Jan 20 4  450
HC2000 177  2022 Jan 20 4  420
HC2000 163  2022 Jan 20 3  420
