HC2000,ID_apogee,theta_orionis,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,year,month,day,itime,sci_frames,tel_frames,teff,teff_e,teff_nirspec,teff_e_nirspec,vsini,vsini_e,rv_nirspec,rv_helio,rv_e_nirspec,airmass,airmass_e,pwv,pwv_e,veiling,veiling_e,veiling_param_O32,veiling_param_O33,veiling_param_O35,lsf,lsf_e,noise,noise_e,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O35,model_std_O35,wave_offset_O32,wave_offset_O32_e,wave_offset_O33,wave_offset_O33_e,wave_offset_O35,wave_offset_O35_e,snr_O32,snr_O33,snr_O35,Kmag,Kmag_e,Hmag,Hmag_e,mass_literature,mass_e_literature,teff_chris,teff_e_chris,vr_chris,vr_e_chris,vsini_chris,vsini_e_chris,veiling_param_O33_chris,rv_apogee,rv_e_apogee,teff_apogee,teff_e_apogee,vsini_apogee,vsini_e_apogee,veiling_apogee,Hmag_apogee,Hmag_e_apogee,ID_2MASS,ID_gaia_dr2,teff_kounkel,teff_e_kounkel,logg_kounkel,logg_e_kounkel,rv_mean_kounkel,rv_mean_e_kounkel,ID_kim,pmRA_kim,pmRA_e_kim,pmDE_kim,pmDE_e_kim,ID_gaia,plx,plx_e,plx_over_e,pmRA_gaia,pmRA_e_gaia,pmDE_gaia,pmDE_e_gaia,Gmag,Gmag_e,bp_rp,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_excess_noise,ruwe,ID_hillenbrand,m_ID,Parenago,Mem,Imag,l_V-I,V-I,logT,AV,log_L_,mass_Hillenbrand,log_age_,recno,ID_2MASS_tobin,rv_tobin,rv_e_tobin,Vmag_tobin,V-I_tobin,mass_BHAC15,mass_e_BHAC15,logL_BHAC15,logL_e_BHAC15,logg_BHAC15,logg_e_BHAC15,Mk_BHAC15,Mk_e_BHAC15,mk_BHAC15,mk_e_BHAC15,mass_MIST,mass_e_MIST,logg_MIST,logg_e_MIST,logL_MIST,logL_e_MIST,mass_Feiden,mass_e_Feiden,logg_Feiden,logg_e_Feiden,logL_Feiden,logL_e_Feiden,mass_Palla,mass_e_Palla,logL_Palla,logL_e_Palla,mass_DAntona,mass_e_DAntona,logL_DAntona,logL_e_DAntona,pmRA,pmRA_e,pmDE,pmDE_e,vr,vr_e,dist,dist_e,vRA,vRA_e,vDE,vDE_e,vt,vt_e,v,v_e,sep_to_trapezium
322,,,83.81787499999999,-5.387944444444445,05 35 16.29,-05 23 16.6,15.0,12.0,23.0,300.0,"[75, 76, 77, 78]","[79, 80, 80, 79]",3373.5479382355206,24.76291316318565,3373.5479382355206,24.76291316318565,37.4376548385155,0.79416838347462,28.74433189492989,24.940719273568504,0.5701778018650998,1.0074407180960816,0.0068803616198125,4.153927805371547,0.0795557766317327,7388.25085260933,3098.947550704482,0.0649357663017759,0.0559723649403844,,4.9348199826626375,0.0726505027140591,2.371773941039386,0.0389041025648555,0.8580943410733264,0.3329657480499612,2.022058568378105,0.4473320118262824,,,-0.055962204610242,0.0082861054586623,0.3867294860735065,0.009856550782017,,,47.79699736984146,72.86639338155076,,9.435,0.004,9.982,0.004,,,3414.0,18.0,24.9,0.27,37.47,0.92,0.07,,,,,,,,,,,,,,,,,,,,,,,3017364063323188864,2.570694087403599,0.15427135,16.80327,0.48342365851123015,0.13028783,-0.06513005830511519,0.10703966,13.78664,0.0096201785592521,0.6814766,208.0,13.025087,0.7164344,1.7116724,512.0,,0.0,99.0,12.3,,,,,,,,714.0,,,,,,0.2759061673608498,0.0182400832629152,-0.7778251983339604,0.2086269547417741,3.71554370041651,0.2058846418682394,3.914925462779241,0.548462894397473,11.86467346940778,0.5485481101138263,0.2864254222062056,0.0211791476476667,3.720630818909473,0.1951823574567122,-0.7599712803592051,0.2097807072833591,0.2867310083839059,0.0233606614252805,3.62643930951208,0.2891750795943275,-0.6655235435513984,0.2884293117942126,0.2174300060958702,0.0193787467460884,0.1265585057910767,0.0935225709040149,,,,,0.48342365851123015,0.13028783,-0.06513005830511519,0.10703966,24.940719273568504,0.5701778018650998,389,3,0.8913655469825168,0.24033085236500715,-0.12009070930646969,0.1973683204743408,0.8994188772808654,0.23963589042895886,24.95693154616089,0.5698728515242332,0.008177111986633137
259,,,83.821125,-5.392777777777778,05 35 17.07,-05 23 34.0,15.0,12.0,23.0,90.0,"[87, 88, 89, 90]","[95, 96, 96, 95]",3434.1717401221267,33.7325477212903,3434.1717401221267,33.7325477212903,32.81568188958963,1.0283945190086925,32.1557397087425,28.02118334325917,0.6375916781050961,1.3719828018751676,0.0112478303195916,2.392993044170666,0.0367670151055101,69816.52042773225,6621.559891399567,0.5846050576140922,0.5051752879056065,,4.910901656899917,0.0542623879005192,1.9133196345638104,0.0298148760149797,1.549971512463939,0.6444522249910014,3.52156418833507,0.757306205024261,,,-0.0265941325193494,0.0050509336991291,0.4765886510742381,0.0077439233088438,,,40.13639938344584,61.42808717403635,,,,,,,,3501.0,44.0,27.53,0.08,32.49,1.95,0.54,,,,,,,,,,,,,,,,,,,,,,,,2.570694087403599,,,,,,,,,,,,,,538.0,,1893.0,99.0,11.5,,1.89,3.708,2.47,0.96,1.93,5.73,761.0,,,,,,0.3034672697315319,0.0247726247316461,-0.7141056414563958,0.207551122889418,3.7313869078926127,0.1978893730826942,3.766824375020178,0.5427241178226054,11.716572381648716,0.5428102344695818,0.3210257070574405,0.0259264364694155,3.7296711463784167,0.1929317757990909,-0.6870727655363202,0.2068769180603976,0.3219580166359255,0.0346858647171376,3.6671298753405632,0.2977069928438873,-0.6247771761285874,0.2788516453783473,0.2623032865448755,0.0271754572703247,0.1691881222176317,0.1164709420707262,,,,,,,,,28.02118334325917,0.6375916781050961,389,3,,,,,,,,,0.3559337339091535
213,,,83.81645833333332,-5.397194444444445,05 35 15.95,-05 23 49.9,15.0,12.0,23.0,60.0,"[91, 92, 93, 94]","[95, 96, 96, 95]",3150.367768990783,143.8922200498414,3150.367768990783,143.8922200498414,24.82527503952881,4.848604819022139,16.12589333449894,11.968148266952708,2.701888249938839,1.4278845170398489,0.0138066339447088,2.28499500144561,0.0421698167065311,531652.3362850081,124738.39153057733,5.732937420667908,4.866497464882616,,5.04618575017092,0.0462296789097611,2.1742296525110967,0.0386131850649427,1.703822506872772,0.6114380858452206,1.3294750348897215,0.3868793711190614,,,-0.0681064409412844,0.00406068519123,0.4469066275071029,0.0088922185561398,,,45.93865770927578,65.35298571436451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.570694087403599,,,,,,,,,,,,,,499.0,,1869.0,99.0,11.45,,2.34,3.719,3.78,1.3,2.84,5.62,690.0,,,,,,0.1796188561805723,0.0712658705229654,-1.000762287638855,0.4086412706529307,3.636031426967621,0.2448177688864272,4.428318289884187,1.017420163440608,12.378066296512726,1.0174661033931844,0.1668717384818581,0.0671710151407942,3.666451868487676,0.220882904664345,-1.0621921294786036,0.418175964245718,0.1689088683010483,0.0712725581203593,3.3952650078255786,0.2620911351929944,-0.7836078901996695,0.4076414254269965,0.1269719141635721,0.0275350766514309,0.0689051044247737,0.0721154084482599,,,,,,,,,11.968148266952708,2.701888249938839,389,3,,,,,,,,,0.5636393473680188
291_B,,,83.81599999999999,-5.390444444444445,05 35 15.84,-05 23 25.6,15.0,12.0,24.0,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3171.099753420329,28.968804654134143,3171.099753420329,28.968804654134143,16.16959042457744,0.7699651065916946,33.04695552082633,29.051055278056367,0.3821191508534909,1.1384019187929475,0.0150895719458953,2.0634362555235315,0.0554195583693617,43862.95741551627,4277.905980701849,0.4632983148613313,0.3939790035400707,,4.800545516059733,0.0873283702382115,2.610412453439777,0.0428000375065398,0.3843845395535585,0.1432632318347242,0.8178548058425408,0.1798248339470793,,,0.1219744508788362,0.0093775472477382,0.7297040616488581,0.0104751429710839,,,42.84506523765654,65.9653640753772,,10.395,0.01,11.064,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1.1,0.45,-1.63,0.07,,2.570694087403599,,,,,,,,,,,,,,489.0,,0.0,96.0,13.7,,,,,,,,676.0,,,,,,0.1878025342448666,0.0159546350596506,-0.9843949315102668,0.2404236680288843,3.649670890408111,0.2354578311062845,4.392855684938911,0.6182073522851474,12.34260369156745,0.618282955448401,0.176465548291216,0.0145835177151741,3.672808033371481,0.2136528232575314,-1.033205770928588,0.2577785904909557,0.1786784961184905,0.0238180842724873,3.405254989598443,0.2151781466680642,-0.7571870552745958,0.2652768380465858,0.134555945714121,0.0118499287058883,0.0731728458154917,0.0540298781467911,,,,,1.1,0.45,-1.63,0.07,29.051055278056367,0.3821191508534909,389,3,2.028246,0.8298844264914242,-3.0054918,0.13113490773245698,3.625846493769868,0.4771339309431618,29.276450870367977,0.383754224306557,0.18557709934855482
252,,,83.82074999999999,-5.393638888888889,05 35 16.98,-05 23 37.1,15.0,12.0,24.0,300.0,"[52, 53, 54, 55]","[50, 51, 51, 50]",3162.2713639015724,112.46751956466596,3162.2713639015724,112.46751956466596,15.566187182362142,2.362994228404254,28.833315292846933,24.734240103788103,1.2807091107587445,1.0288282838790448,0.0118330037063314,2.079737879012696,0.053115310247956,579856.5948829442,102761.20216693904,6.179677166468894,5.250378966938974,,4.94313438147735,0.0842112328809152,2.711404042767783,0.0478550350902498,0.5222679850185488,0.2028849611978815,0.4063757662793925,0.1277588103802274,,,0.0138590128857696,0.0087355912518268,-0.1000139047833517,0.0100050474818616,,,59.12927122781755,82.37179909842337,,9.314,0.005,10.238,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,2.97,0.37,2.67,1.38,,2.570694087403599,,,,,,,,,,,,,,534.0,,1894.0,99.0,12.66,,1.43,3.544,0.0,-0.03,0.22,4.7,755.0,,,,,,0.1843176436453575,0.0545376594575939,-0.991364712709285,0.3538504954577398,3.643862739408929,0.2396372928942629,4.407956877536784,0.8861595254345163,12.357704884165322,0.8862122697734014,0.1723801752651215,0.0536384483808035,3.6701013605187023,0.2188453223941926,-1.0455491558505436,0.374194148732722,0.1745182537587316,0.0582078842738415,3.40100091297226,0.2579019943048619,-0.7684379523086926,0.3555952938823675,0.1313264051518888,0.0218006422563259,0.0713554952627446,0.0672937407846606,,,,,2.97,0.37,2.67,1.38,24.734240103788103,1.2807091107587445,389,3,5.4762642,0.6835341812600159,4.9231062,2.544810043869876,7.363860688842511,1.7760956238546222,25.807151678488655,1.3279721704334446,0.38876603668592585
250,,,83.81624999999998,-5.393888888888889,05 35 15.90,-05 23 38.0,15.0,12.0,24.0,1200.0,"[56, 57, 58, 59]","[60, 61, 61, 60]",2977.714566697505,55.09730024997498,2977.714566697505,55.09730024997498,15.470722811172417,0.7991155611006722,34.35327757984789,30.129028664406807,0.4166705262769987,1.0077801215022453,0.0079754730853391,2.0027255950885428,0.0747944298391019,33738.85487555448,4071.241411556075,0.4302322791687217,0.36186563742905,,4.709825472086859,0.1138841695917718,1.0117549171810298,0.0103373819437734,0.1010687374922591,0.0306728150079009,0.136948436039816,0.0321997456509535,,,-0.0266919121580119,0.0127838594676906,0.1870453883855594,0.0141078209415881,,,12.34090443459452,20.715275204736265,,12.144,0.008,12.803,0.006,,,2975.0,91.0,29.93,0.46,15.9,1.86,0.39,,,,,,,,,,,,,,,,,,197.0,1.7,0.4,-3.85,1.18,,2.570694087403599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1023810694572936,0.0298997159972918,-1.2480946527135317,0.2613144450436834,3.542381069457293,0.1889116381074134,5.01380823596977,0.6525672465495367,12.963556242598308,0.6526388693970355,0.1002886038886385,0.0120985291640596,3.5983143775714046,0.1803431115758031,-1.3089843207473535,0.1914823109552007,,,,,,,,,,,,,,,1.7,0.4,-3.85,1.18,30.129028664406807,0.4166705262769987,389,3,3.1345620000000003,0.737940061395233,-7.098861,2.176443471292567,7.760109949553872,2.013418380062181,31.112339588816074,0.6442124527415514,0.37098315933990783
244,,,83.82108333333332,-5.394388888888889,05 35 17.06,-05 23 39.8,15.0,12.0,24.0,600.0,"[62, 63, 64, 65]","[60, 61, 61, 60]",3392.231154408892,17.66318914849012,3392.231154408892,17.66318914849012,21.54216068130277,0.3112470139911814,32.56928322237554,28.131837944319777,0.3196677056273529,1.1088570753578058,0.0125038264486508,2.077752372523753,0.0501667303085011,2325.650157165045,1782.7072125785762,0.0201178341533329,0.0173594394075915,,5.313735347773779,0.071507647625399,2.20019197412579,0.0386174771095304,0.6303280359451549,0.2087173882693509,1.3784122703687869,0.2901837833350374,,,0.0688609755913969,0.008250902981101,0.2706383757805881,0.0114324701171197,,,43.60808871870431,67.89323875787765,,10.151,0.005,10.711,0.004,,,3436.0,17.0,28.18,0.11,21.29,0.83,0.04,,,,,,,,,,,,,,,,,,180.0,-0.02,0.15,0.83,0.4,3017363960246048384,2.570694087403599,0.08098062,31.54316,-1.363072179739175,0.080696195,-0.0643228017965829,0.07231949,15.083577,0.0071613800950871,0.90170956,273.0,-7.8845778,0.35433275,0.6779133,537.0,,0.0,90.0,13.35,,,3.591,0.0,-0.35,0.51,6.17,760.0,,,,,,0.2841730771720761,0.0148814656555784,-0.7579846147870173,0.198913143409226,3.7205038463032456,0.2000450406352076,3.8686307678363736,0.5257973346215277,11.818378774464913,0.5258862231259721,0.2977380829695398,0.0164389629788943,3.7240401779186647,0.1906861555326633,-0.7357902764151264,0.1985658105689573,0.2977922180087701,0.0219531092273986,3.640354477138303,0.2890941195826322,-0.6532621373761883,0.2793299136269246,0.2312591816498091,0.0155096165436132,0.1396962225673186,0.0913759544481985,,,,,-0.02,0.15,0.83,0.4,28.131837944319777,0.3196677056273529,389,3,-0.036877200000000006,0.276579146221041,1.5304038,0.7376384299253667,1.5308480391385293,0.7374545808782283,28.173459174272587,0.32170079379549993,0.437889144891055
261,,,83.81408333333331,-5.392611111111112,05 35 15.38,-05 23 33.4,15.0,12.0,24.0,900.0,"[66, 67, 68, 69]","[44, 45, 45, 44]",3358.731968963146,17.696982968072007,3358.731968963146,17.696982968072007,0.5799354144151989,0.6893881209409141,30.8364156193504,26.288541396492963,0.2001103374391455,1.288591160625399,0.0242889904928114,2.111674157879888,0.084626469801966,108.38269086422628,151.84061207821142,0.0009646194582646,0.0008308591208145,,5.2140384347078665,0.0880798654316215,1.4190643203584146,0.0250706559630493,0.2861256155949863,0.0893835053176115,0.5680520034858167,0.123724317405888,,,0.0604787644633078,0.0126888486346984,0.3705253827967908,0.0133972690837806,,,16.102817288476714,28.917904278041927,,11.137,0.004,11.424,0.007,,,3374.0,14.0,26.39,0.2,1.49,0.31,0.0,,,,,,,,,,,,,,,,,,206.0,-0.72,0.24,0.87,0.12,3017363960251927936,2.570694087403599,0.16263506,14.567791,-1.1534248669893645,0.28198826,0.3406692645489129,0.24225657,15.996441,0.0091127353659675,0.71268845,174.0,-10.869926,0.5113281,0.46864626,5177.0,,0.0,0.0,,,,,,,,,651.0,,,,,,0.2693504287447548,0.0148983377798108,-0.7935589710125884,0.2033487699836207,3.711610257246853,0.2053647650292509,3.951637599029373,0.5361471299617819,11.901385605657913,0.5362343028423796,0.2774543739293437,0.0173899709186186,3.717927164578765,0.1968153122028388,-0.7791470479618553,0.2032152346604431,0.2779424906249968,0.0179051034150241,3.614995762465652,0.2842098320250659,-0.6751098956825032,0.2823612073868506,0.206463337500478,0.0126945790644659,0.1161401706254541,0.0811157753611676,,,,,-0.72,0.24,0.87,0.12,26.288541396492963,0.2001103374391455,389,3,-1.3275792,0.4426448232290987,1.6041582,0.22160878866191205,2.082256003208991,0.3300268860279455,26.370877854520202,0.20118040869943768,0.358121028637672
248,,,83.81566666666666,-5.394,05 35 15.76,-05 23 38.4,16.0,12.0,14.0,600.0,"[40, 41, 42, 43]","[54, 55, 55, 54]",3379.3688870826054,39.98148481407816,3379.3688870826054,39.98148481407816,39.14369179392829,1.4683241276196275,26.92791106595628,27.061758782399647,1.0637885070292177,1.0550376117839535,0.0180695132373593,1.4323954124886444,0.0623034173169242,42338.4549708264,7529.17231017704,0.3703250536650579,0.319251645061586,,5.247265899405633,0.1306492238736751,1.3025538952809066,0.0222354448668445,0.1672316536841788,0.0575875223615,0.2711753803256211,0.0625690694682975,,,-0.073791298196047,0.0135493951671426,-0.2388557167430855,0.0164090968422362,,,19.00674633176212,28.175553411829043,,11.168,0.014,12.802,0.028,,,3438.0,48.0,26.56,0.78,39.39,3.82,0.35,,,,,,,,,,,,,,,,,,200.0,1.81,0.43,-2.83,0.2,,2.570694087403599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2784818084436307,0.026245713537841,-0.7716436597352863,0.2234227039917368,3.717089085066178,0.2104207631170893,3.900501872715668,0.5829863093140528,11.850249879344208,0.5830664794225591,0.2899499984363755,0.0295725519439737,3.721693039900211,0.1973955091160972,-0.7524374389839578,0.2284806270930455,0.2901772424164053,0.031792777394011,3.630774723618474,0.2938497479305961,-0.6617033758952027,0.3000467084240306,0.221738628484534,0.0288802885308169,0.1306516970603073,0.106780628707924,,,,,1.81,0.43,-2.83,0.2,27.061758782399647,1.0637885070292177,389,3,3.3373866000000003,0.7932774529729685,-5.218123800000001,0.37096125786766476,6.194107305333515,0.5303669854087557,27.76158773749748,1.0437019993574708,0.38720992489096795
223,,,83.81433333333331,-5.395972222222222,05 35 15.44,-05 23 45.5,16.0,12.0,14.0,300.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3345.938546639332,20.86399820437714,3345.938546639332,20.86399820437714,10.621793644372682,0.7031722713077704,27.36611362686739,27.3490866745122,0.2851034505969796,1.0202311484248625,0.0143643075637378,1.5735798809098256,0.0483976788217893,38255.91457789714,3639.93522949667,0.3442152930144073,0.2963083032833411,,4.949830657362531,0.0978668764413122,1.7483336894984185,0.0249923940782685,0.5979985640434944,0.1705589996811921,1.192050363692271,0.2491828253101474,,,-0.194012180545246,0.0106647733686854,0.0689776314462564,0.011881355858545,,,30.42008308164016,46.01031292089182,,9.88,0.003,10.463,0.003,,,3359.0,16.0,27.45,0.23,9.74,0.69,0.32,,,,,,,,,,,,,,,,,,164.0,1.1,0.08,-0.68,0.23,3017363960241964032,2.570694087403599,0.10093366,26.94365,1.268613652975866,0.09375679,-1.0768595211690124,0.07593953,14.883596,0.008309265907332,0.8222046,304.0,-4.8262463,0.52727276,0.8079315,475.0,,1868.0,99.0,12.94,,,,,,,,652.0,,,,,,0.263689622406784,0.0165349009710095,-0.8071449062237184,0.2082677214730326,3.7082137734440703,0.2085534086387293,3.9833381145220095,0.5476246834370764,11.933086121150549,0.5477100295668823,0.2697079749470502,0.0190542989350716,3.715592589564841,0.1992948908864704,-0.79570510695982,0.2088313661127104,0.270305647958824,0.017917545726161,3.603950367812286,0.2820591055695078,-0.6829972267881266,0.2862947383347702,0.198514267144418,0.0120443707467488,0.109163937602177,0.0766475885079022,,,,,1.1,0.08,-0.68,0.23,27.3490866745122,0.2851034505969796,389,3,2.028246,0.1483358292572634,-1.2538248,0.4241980236552264,2.384503819584075,0.2565299066078673,27.45283956889691,0.28489861068195094,0.5261928534542043
