HC2000,m_HC2000,theta_orionis,APOGEE,RAJ2000,DEJ2000,_RAJ2000,_DEJ2000,obs_date,itime,sci_frames,tel_frames,teff,e_teff,teff_nirspao,e_teff_nirspao,vsini_nirspao,e_vsini_nirspao,rv_nirspao,rv_helio,e_rv_nirspao,airmass,e_airmass,pwv,e_pwv,veiling,e_veiling,veiling_param_O32,veiling_param_O33_nirspao,veiling_param_O35,lsf,e_lsf,noise,e_noise,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O35,model_std_O35,wave_offset_O32,e_wave_offset_O32,wave_offset_O33,e_wave_offset_O33,wave_offset_O35,e_wave_offset_O35,snr_O32,snr_O33,snr_O35,Kmag,e_Kmag,Hmag,e_Hmag,mass_literature,e_mass_literature,teff_chris,e_teff_chris,rv_chris,e_rv_chris,vsini_chris,e_vsini_chris,veiling_param_O33_chris,rv_apogee,e_rv_apogee,teff_apogee,e_teff_apogee,vsini_apogee,e_vsini_apogee,veiling_param_apogee,Hmag_apogee,e_Hmag_apogee,2MASS,Gaia DR2,teff_kounkel,e_teff_kounkel,logg_kounkel,e_logg_kounkel,rv_kounkel,e_rv_kounkel,ID_kim,pmRA_kim,e_pmRA_kim,pmDE_kim,e_pmDE_kim,Gaia DR3,plx,e_plx,plx_over_e,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,Gmag,e_Gmag,bp_rp,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_excess_noise,ruwe,ID_hillenbrand,mass_Hillenbrand,rv_tobin,e_rv_tobin,mass_BHAC15,e_mass_BHAC15,logL_BHAC15,e_logL_BHAC15,logg_BHAC15,e_logg_BHAC15,Mk_BHAC15,e_Mk_BHAC15,mk_BHAC15,e_mk_BHAC15,mass_MIST,e_mass_MIST,logg_MIST,e_logg_MIST,logL_MIST,e_logL_MIST,mass_Feiden,e_mass_Feiden,logg_Feiden,e_logg_Feiden,logL_Feiden,e_logL_Feiden,mass_Palla,e_mass_Palla,logL_Palla,e_logL_Palla,mass_DAntona,e_mass_DAntona,logL_DAntona,e_logL_DAntona,pmRA,e_pmRA,pmDE,e_pmDE,rv,e_rv,dist,e_dist,vRA,e_vRA,vDE,e_vDE,vt,e_vt,v,e_v,sep_to_trapezium
322,,,,83.817875,-5.387944,05 35 16.29,-05 23 16.6,2015-12-23,300.0,"[75, 76, 77, 78]","[79, 80, 80, 79]",3373.5,24.8,3373.5,24.8,37.44,0.79,28.74,24.94,0.57,1.01,0.01,4.15,0.08,7388.25,3098.95,0.06,0.06,nan,4.93,0.07,2.37,0.04,0.86,0.33,2.02,0.45,nan,nan,-0.05596,0.00829,0.38673,0.00986,nan,nan,47.80,72.87,nan,9.435000,0.004000,9.982000,0.004000,nan,nan,3414.0,18.0,24.90,0.27,37.47,0.92,0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,3017364063323188864,2.5923,0.1543,16.80327,0.484,0.130,-0.065,0.107,13.786640,0.009620,0.6814765930175781,208.0,13.025087,0.7164344191551208,1.7116724,512,nan,nan,nan,0.27588,0.01826,-0.77788,0.20867,3.71553,0.20591,3.91504,0.54857,11.86479,0.54865,0.28640,0.02120,3.72062,0.19520,-0.76003,0.20983,0.28670,0.02337,3.62640,0.28917,-0.66556,0.28847,0.21739,0.01939,0.12652,0.09352,nan,nan,nan,nan,0.48,0.13,-0.06,0.11,24.94,0.57,385.76,22.96,0.89,0.24,-0.12,0.20,0.90,0.24,24.96,0.57,0.00013610463074196905
259,,,,83.821125,-5.392778,05 35 17.07,-05 23 34.0,2015-12-23,90.0,"[87, 88, 89, 90]","[95, 96, 96, 95]",3434.2,33.7,3434.2,33.7,32.82,1.03,32.16,28.02,0.64,1.37,0.01,2.39,0.04,69816.52,6621.56,0.58,0.51,nan,4.91,0.05,1.91,0.03,1.55,0.64,3.52,0.76,nan,nan,-0.02659,0.00505,0.47659,0.00774,nan,nan,40.14,61.43,nan,nan,nan,nan,nan,nan,nan,3501.0,44.0,27.53,0.08,32.49,1.95,0.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,3017364059023817600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,538,1.9299999475479126,nan,nan,0.30348,0.02476,-0.71408,0.20751,3.73139,0.19787,3.76676,0.54264,11.71651,0.54272,0.32104,0.02591,3.72968,0.19292,-0.68705,0.20683,0.32197,0.03467,3.66715,0.29770,-0.62476,0.27882,0.26232,0.02715,0.16921,0.11645,nan,nan,nan,nan,nan,nan,nan,nan,28.02,0.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00593241203802281
213,,,,83.816458,-5.397194,05 35 15.95,-05 23 49.9,2015-12-23,60.0,"[91, 92, 93, 94]","[95, 96, 96, 95]",3150.4,143.9,3150.4,143.9,24.83,4.85,16.13,11.97,2.70,1.43,0.01,2.28,0.04,531652.34,124738.39,5.73,4.87,nan,5.05,0.05,2.17,0.04,1.70,0.61,1.33,0.39,nan,nan,-0.06811,0.00406,0.44691,0.00889,nan,nan,45.94,65.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,3017363955944598016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,499,2.8399999141693115,nan,nan,0.17963,0.07127,-1.00074,0.40863,3.63605,0.24481,4.42826,1.01739,12.37801,1.01744,0.16689,0.06718,3.66646,0.22088,-1.06215,0.41818,0.16892,0.07128,3.39528,0.26210,-0.78357,0.40765,0.12698,0.02754,0.06891,0.07212,nan,nan,nan,nan,nan,nan,nan,nan,11.97,2.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009393594298718744
291,B,,,83.816000,-5.390444,05 35 15.84,-05 23 25.6,2015-12-24,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3171.1,29.0,3171.1,29.0,16.17,0.77,33.05,29.05,0.38,1.14,0.02,2.06,0.06,43862.96,4277.91,0.46,0.39,nan,4.80,0.09,2.61,0.04,0.38,0.14,0.82,0.18,nan,nan,0.12197,0.00938,0.72970,0.01048,nan,nan,42.85,65.97,nan,10.395000,0.010000,11.064000,0.010000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,211,1.10,0.45,-1.63,0.07,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,489,nan,nan,nan,0.18780,0.01597,-0.98439,0.24045,3.64967,0.23547,4.39286,0.61827,12.34260,0.61835,0.17647,0.01460,3.67281,0.21366,-1.03321,0.25783,0.17868,0.02383,3.40526,0.21520,-0.75719,0.26532,0.13456,0.01186,0.07317,0.05404,nan,nan,nan,nan,1.10,0.45,-1.63,0.07,29.05,0.38,nan,nan,2.03,0.83,-3.01,0.13,3.63,0.48,29.28,0.38,0.003092584443455424
252,,,,83.820750,-5.393639,05 35 16.98,-05 23 37.1,2015-12-24,300.0,"[52, 53, 54, 55]","[50, 51, 51, 50]",3162.3,112.5,3162.3,112.5,15.57,2.36,28.83,24.73,1.28,1.03,0.01,2.08,0.05,579856.59,102761.20,6.18,5.25,nan,4.94,0.08,2.71,0.05,0.52,0.20,0.41,0.13,nan,nan,0.01386,0.00874,-0.10001,0.01001,nan,nan,59.13,82.37,nan,9.314000,0.005000,10.238000,0.004000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,118,2.97,0.37,2.67,1.38,3017364063325263360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,534,0.2199999988079071,nan,nan,0.18433,0.05455,-0.99134,0.35388,3.64388,0.23964,4.40791,0.88623,12.35766,0.88629,0.17239,0.05366,3.67011,0.21885,-1.04551,0.37423,0.17453,0.05822,3.40101,0.25792,-0.76840,0.35565,0.13134,0.02181,0.07136,0.06730,nan,nan,nan,nan,2.97,0.37,2.67,1.38,24.73,1.28,nan,nan,5.48,0.68,4.92,2.55,7.36,1.78,25.80,1.33,0.006479532547434784
250,,,,83.816250,-5.393889,05 35 15.90,-05 23 38.0,2015-12-24,1200.0,"[56, 57, 58, 59]","[60, 61, 61, 60]",2977.7,55.1,2977.7,55.1,15.47,0.80,34.35,30.13,0.42,1.01,0.01,2.00,0.07,33738.85,4071.24,0.43,0.36,nan,4.71,0.11,1.01,0.01,0.10,0.03,0.14,0.03,nan,nan,-0.02669,0.01278,0.18705,0.01411,nan,nan,12.34,20.72,nan,12.144000,0.008000,12.803000,0.006000,nan,nan,2975.0,91.0,29.93,0.46,15.90,1.86,0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,197,1.70,0.40,-3.85,1.18,3017363960253005056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,0.10237,0.02990,-1.24813,0.26133,3.54238,0.18891,5.01388,0.65262,12.96362,0.65269,0.10028,0.01210,3.59831,0.18034,-1.30901,0.19148,nan,nan,nan,0.07178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.70,0.40,-3.85,1.18,30.13,0.42,nan,nan,3.13,0.74,-7.10,2.18,7.76,2.01,31.11,0.65,0.0061831604772890555
244,,,,83.821083,-5.394389,05 35 17.06,-05 23 39.8,2015-12-24,600.0,"[62, 63, 64, 65]","[60, 61, 61, 60]",3392.2,17.7,3392.2,17.7,21.54,0.31,32.57,28.13,0.32,1.11,0.01,2.08,0.05,2325.65,1782.71,0.02,0.02,nan,5.31,0.07,2.20,0.04,0.63,0.21,1.38,0.29,nan,nan,0.06886,0.00825,0.27064,0.01143,nan,nan,43.61,67.89,nan,10.151000,0.005000,10.711000,0.004000,nan,nan,3436.0,17.0,28.18,0.11,21.29,0.83,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,180,-0.02,0.15,0.83,0.40,3017363960246048384,2.5544,0.0810,31.54316,-1.363,0.081,-0.064,0.072,15.083577,0.007161,0.9017095565795898,273.0,-7.8845778,0.35433274507522583,0.6779133,537,0.5099999904632568,nan,nan,0.28416,0.01490,-0.75802,0.19895,3.72050,0.20006,3.86871,0.52589,11.81846,0.52598,0.29772,0.01646,3.72403,0.19070,-0.73583,0.19861,0.29777,0.02197,3.64033,0.28910,-0.65328,0.27937,0.23124,0.01554,0.13967,0.09140,nan,nan,nan,nan,-0.02,0.15,0.83,0.40,28.13,0.32,391.48,12.41,-0.04,0.28,1.53,0.74,1.53,0.74,28.17,0.32,0.007298100480928747
261,,,,83.814083,-5.392611,05 35 15.38,-05 23 33.4,2015-12-24,900.0,"[66, 67, 68, 69]","[44, 45, 45, 44]",3358.7,17.7,3358.7,17.7,0.58,0.69,30.84,26.29,0.20,1.29,0.02,2.11,0.08,108.38,151.84,0.00,0.00,nan,5.21,0.09,1.42,0.03,0.29,0.09,0.57,0.12,nan,nan,0.06048,0.01269,0.37053,0.01340,nan,nan,16.10,28.92,nan,11.137000,0.004000,11.424000,0.007000,nan,nan,3374.0,14.0,26.39,0.20,1.49,0.31,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,206,-0.72,0.24,0.87,0.12,3017363960251927936,2.3692,0.1626,14.567791,-1.153,0.282,0.341,0.242,15.996441,0.009113,0.7126884460449219,174.0,-10.869926,0.5113281011581421,0.46864626,5177,nan,nan,nan,0.26934,0.01490,-0.79359,0.20336,3.71160,0.20537,3.95172,0.53616,11.90146,0.53625,0.27744,0.01739,3.71792,0.19682,-0.77919,0.20322,0.27792,0.01790,3.61497,0.28420,-0.67513,0.28237,0.20644,0.01269,0.11612,0.08110,nan,nan,nan,nan,-0.72,0.24,0.87,0.12,26.29,0.20,422.08,28.97,-1.33,0.44,1.60,0.22,2.08,0.33,26.37,0.20,0.005968798878054484
248,,,,83.815667,-5.394000,05 35 15.76,-05 23 38.4,2016-12-14,600.0,"[40, 41, 42, 43]","[54, 55, 55, 54]",3379.4,40.0,3379.4,40.0,39.14,1.47,26.93,27.06,1.06,1.06,0.02,1.43,0.06,42338.45,7529.17,0.37,0.32,nan,5.25,0.13,1.30,0.02,0.17,0.06,0.27,0.06,nan,nan,-0.07379,0.01355,-0.23886,0.01641,nan,nan,19.01,28.18,nan,11.168000,0.014000,12.802000,0.028000,nan,nan,3438.0,48.0,26.56,0.78,39.39,3.82,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,200,1.81,0.43,-2.83,0.20,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,0.27850,0.02626,-0.77161,0.22344,3.71710,0.21042,3.90042,0.58302,11.85017,0.58310,0.28997,0.02958,3.72170,0.19741,-0.75240,0.22851,0.29020,0.03181,3.63080,0.29386,-0.66168,0.30005,0.22176,0.02890,0.13067,0.10681,nan,nan,nan,nan,1.81,0.43,-2.83,0.20,27.06,1.06,nan,nan,3.34,0.79,-5.22,0.37,6.19,0.53,27.76,1.04,0.006453392098217382
223,,,,83.814333,-5.395972,05 35 15.44,-05 23 45.5,2016-12-14,300.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3345.9,20.9,3345.9,20.9,10.62,0.70,27.37,27.35,0.29,1.02,0.01,1.57,0.05,38255.91,3639.94,0.34,0.30,nan,4.95,0.10,1.75,0.02,0.60,0.17,1.19,0.25,nan,nan,-0.19401,0.01066,0.06898,0.01188,nan,nan,30.42,46.01,nan,9.880000,0.003000,10.463000,0.003000,nan,nan,3359.0,16.0,27.45,0.23,9.74,0.69,0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,164,1.10,0.08,-0.68,0.23,3017363960241964032,2.7195,0.1009,26.94365,1.269,0.094,-1.077,0.076,14.883596,0.008309,0.82220458984375,304.0,-4.8262463,0.5272727608680725,0.8079315,475,nan,nan,nan,0.26367,0.01655,-0.80719,0.20831,3.70820,0.20857,3.98343,0.54772,11.93318,0.54781,0.26968,0.01907,3.71559,0.19931,-0.79575,0.20888,0.27028,0.01793,3.60392,0.28206,-0.68302,0.28633,0.19850,0.01206,0.10916,0.07665,nan,nan,nan,nan,1.10,0.08,-0.68,0.23,27.35,0.29,367.71,13.64,2.03,0.15,-1.25,0.42,2.38,0.26,27.45,0.29,0.008769804791245171
