HC2000,ID_apogee,theta_orionis,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,year,month,day,itime,sci_frames,tel_frames,teff,teff_e,teff_nirspec,teff_e_nirspec,vsini,vsini_e,rv_nirspec,rv_helio,rv_e_nirspec,airmass,airmass_e,pwv,pwv_e,veiling,veiling_e,veiling_param_O32,veiling_param_O33,veiling_param_O35,lsf,lsf_e,noise,noise_e,model_dip_O32,model_std_O32,model_dip_O33,model_std_O33,model_dip_O35,model_std_O35,wave_offset_O32,wave_offset_O32_e,wave_offset_O33,wave_offset_O33_e,wave_offset_O35,wave_offset_O35_e,snr_O32,snr_O33,snr_O35,Kmag,Kmag_e,Hmag,Hmag_e,mass_literature,mass_e_literature,teff_chris,teff_e_chris,vr_chris,vr_e_chris,vsini_chris,vsini_e_chris,veiling_param_O33_chris,rv_apogee,rv_e_apogee,teff_apogee,teff_e_apogee,vsini_apogee,vsini_e_apogee,veiling_apogee,Hmag_apogee,Hmag_e_apogee,ID_2MASS,ID_gaia_dr2,teff_kounkel,teff_e_kounkel,logg_kounkel,logg_e_kounkel,rv_mean_kounkel,rv_mean_e_kounkel,ID_kim,pmRA_kim,pmRA_e_kim,pmDE_kim,pmDE_e_kim,ID_gaia,plx,plx_e,plx_over_e,pmRA_gaia,pmRA_e_gaia,pmDE_gaia,pmDE_e_gaia,Gmag,Gmag_e,bp_rp,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_excess_noise,ruwe,ID_hillenbrand,m_ID,Parenago,Mem,Imag,l_V-I,V-I,logT,AV,log_L_,mass_Hillenbrand,log_age_,recno,ID_2MASS_tobin,rv_tobin,rv_e_tobin,Vmag_tobin,V-I_tobin,mass_BHAC15,mass_e_BHAC15,logL_BHAC15,logL_e_BHAC15,logg_BHAC15,logg_e_BHAC15,Mk_BHAC15,Mk_e_BHAC15,mk_BHAC15,mk_e_BHAC15,mass_MIST,mass_e_MIST,logg_MIST,logg_e_MIST,logL_MIST,logL_e_MIST,mass_Feiden,mass_e_Feiden,logg_Feiden,logg_e_Feiden,logL_Feiden,logL_e_Feiden,mass_Palla,mass_e_Palla,logL_Palla,logL_e_Palla,mass_DAntona,mass_e_DAntona,logL_DAntona,logL_e_DAntona
322,,,83.81787499999999,-5.387944444444445,05 35 16.29,-05 23 16.6,15.0,12.0,23.0,300.0,"[75, 76, 77, 78]","[79, 80, 80, 79]",3389.5957767703494,24.32648709912337,3389.5957767703494,24.32648709912337,37.51941299766395,0.688874035045167,28.459075561085744,24.65546293972437,0.608751802017947,1.005053601352833,0.0055086484894723,4.074237706389437,0.0561646376033082,7990.808460666276,3290.468647663757,0.0692854765873853,0.0597709820435154,,4.942873046902593,0.0852435171721222,2.328187447730147,0.0371311364217186,0.8942828080634491,0.3378629961786137,2.0148904859806533,0.4459559946490989,,,-0.0528940668540976,0.0067860695312116,0.3676351943042852,0.0112905689434384,,,47.93829885110858,72.80760030242064,,9.435,0.004,9.982,0.004,,,3414.0,18.0,24.9,0.27,37.47,0.92,0.07,,,,,,,,,,,,,,,,,,,,,,,3017364063323188864,2.592263322639252,0.15427135,16.80327,2.086573681992549,0.13028783,0.0132197596721459,0.10703966,13.78664,0.009620178559252197,0.6814766,208.0,13.025087,0.7164344,1.7116724,512.0,,0.0,99.0,12.3,,,,,,,,714.0,,,,,,0.283006980871836,0.018314556319050018,-0.7607832459075936,0.20607238190227561,3.7198041885231015,0.20291628973309606,3.875160907117718,0.542502224438643,11.824908913746256,0.5425883763033197,0.2961423655656701,0.020348770258368176,3.7235592677578437,0.19286037244731058,-0.7392011493869096,0.2072894366907029,0.2962319692683981,0.025035977678990712,3.638391660819184,0.29099047967879144,-0.6549916809061344,0.2851310384095863,0.22930849501876346,0.020523894929679765,0.13784307026782527,0.09715671912417088,,,,
296,,,83.81695833333332,-5.390083333333334,05 35 16.07,-05 23 24.3,15.0,12.0,23.0,1200.0,"[81, 82, 83, 84]","[79, 80, 80, 79]",3681.8770331093183,1807.8909288784043,3681.8770331093183,1807.8909288784043,56.89050536078816,30.47207089953998,26.76087077007696,22.827646525233327,63.68388653560733,1.25328892106948,0.1488889240074997,1.1542106855099,0.6991507922164734,255655.26047308903,222614.66763819364,1.7908450374742302,1.558163590066688,,12.675381888161072,4.827084625727803,1.0013643073403795,0.001361758800585,0.0097825605750404,0.0128327806468944,0.0159115280296057,0.0051463579215788,,,0.5005422382403767,0.3127916737110863,0.349120047951052,0.3182716761558068,,,1.6120174161684182,3.186433553408261,,12.818,0.067,14.713,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,0.51,0.07,-4.54,3.05,3017364063331140352,,,,,,,,15.601755,0.01184333510025144,0.64092255,60.0,13.6144705,1.0670905,,,,,,,,,,,,,,,,,,,,0.4483293204517951,0.019266665925769116,-0.4823389513674869,0.15302666770392326,3.7844987961355385,0.1710035097857896,3.255012038644615,0.4031487771317055,11.204760045273154,0.40326470101087014,0.4709490630379097,1.309138589392382,3.7873836349318712,0.18791885950874576,-0.45802757528720406,0.9347169955506462,0.4519409884983044,1.3411389430442766,3.7618457133054135,0.2144936394107193,-0.45126844562838886,0.9157128261788551,0.45101491572317487,1.0419756443540984,0.3772875973206099,8.330642005509812,0.42708358963920917,0.9733872659138902,-0.5809162873339704,0.8077981108175781
259,,,83.821125,-5.392777777777778,05 35 17.07,-05 23 34.0,15.0,12.0,23.0,90.0,"[87, 88, 89, 90]","[95, 96, 96, 95]",3446.807740934265,37.80221242170797,3446.807740934265,37.80221242170797,33.13691496848563,1.1753058685404447,32.075437838397875,27.940881472914544,0.6744450260217487,1.3572615651252324,0.0127245576797053,2.411984030390696,0.0461863860925246,68138.4244132636,7186.272727154432,0.5650025972210012,0.4885983375314404,,4.8898838890180505,0.0824619560621244,1.952138576714363,0.0301161344771122,1.684901190696932,0.6309588246515958,3.5221455969952924,0.7537678025215949,,,-0.0283952540642452,0.0060844843452095,0.4599735284199086,0.0084061954242146,,,40.22420868417248,61.534758804910695,,,,,,,,3501.0,44.0,27.53,0.08,32.49,1.95,0.54,,,,,,,,,,,,,,,,,,,,,,,3017364059023817600,1.910510840287852,0.065417424,29.204922,0.7326152562785355,0.07717607,0.9579832819657592,0.06459751,12.461865,0.008146462453103262,1.3140497,334.0,22.843128,0.41011232,2.012305,538.0,,1893.0,99.0,11.5,,1.89,3.708,2.47,0.96,1.93,5.73,761.0,,,,,,0.3105661465922837,0.02734484717803909,-0.7020375507931177,0.20945356270225413,3.7342264586369134,0.19696473563607353,3.7398486429493216,0.5459521577251687,11.689596649577862,0.5460377652721141,0.3286319887495004,0.02840727467506121,3.7345805096643323,0.19279323195637232,-0.6754374506834947,0.20774652228346693,0.3290596327626418,0.0380032934174942,3.6740456421732435,0.29870383647517884,-0.6159784867960698,0.2750218415285405,0.27165635894468176,0.030112107162348564,0.17807354099744765,0.12329160200555156,,,,
213,,,83.81645833333332,-5.397194444444445,05 35 15.95,-05 23 49.9,15.0,12.0,23.0,60.0,"[91, 92, 93, 94]","[95, 96, 96, 95]",3157.1401133300333,145.37811967210496,3157.1401133300333,145.37811967210496,24.16735809939645,4.656625838688395,15.486157121267938,11.328412053721706,3.000918295203712,1.4229148326774936,0.017535011948298,2.3103153279005038,0.0734409432264415,504389.7771100982,119503.4030338088,5.403425812686273,4.588666259836807,,5.016247091674055,0.094915954001534,2.2251136991196345,0.0410267918986855,1.5251807090717762,0.552583638264986,1.3634875268198172,0.3896553661909674,,,-0.0713807220995684,0.0070555050530094,0.4281726218483813,0.0099585465866027,,,45.92198154097064,65.64897419465308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3017363955944598016,2.21666079919588,0.20504697,10.810503,0.5169586073499223,0.18902221,-1.8805522398035477,0.15770961,11.971803,0.010478365064147305,1.5297518,379.0,106.73954,1.5049032,6.844031,499.0,,1869.0,99.0,11.45,,2.34,3.719,3.78,1.3,2.84,5.62,690.0,,,,,,0.18229214999869736,0.07178256845557654,-0.9954157000026053,0.4049784019501992,3.6404869166644955,0.24419788334773074,4.4167340166723115,1.0113208979106172,12.36648202330085,1.0113671149139338,0.17000566826918972,0.06862027174655974,3.6685281838262513,0.2212090461209284,-1.0527233976305364,0.41822798752154405,0.17210023108982914,0.07275279366913645,3.39852835180206,0.2649048532331799,-0.7749772165441324,0.4078169408498026,0.12944932645927393,0.027806226217537366,0.07029921188935503,0.07322388996187774,,,,
306_A,,,83.81599999999999,-5.389583333333333,05 35 15.84,-05 23 22.5,15.0,12.0,24.0,180.0,"[40, 41, 42, 43]","[44, 45, 45, 44]",3611.7286635477376,86.74313255253037,3611.7286635477376,86.74313255253037,31.49234418614823,1.8731591943517645,31.44935462157693,27.525941198980707,1.0085451769924436,1.1667520950457029,0.0115171369580366,2.054388655329385,0.0406175883325901,133669.39413516276,20221.65386264949,0.9828791066512363,0.853915751216563,,5.14415865584012,0.0892544457252588,2.989768622891867,0.0502637617688839,1.5118945138703577,0.5242333120486798,2.5599397302449844,0.5347199952903886,,,-0.0187735909715179,0.0068134507207387,0.1184114898383562,0.0116616528273103,,,57.56828991661315,81.29494298140274,,,,9.711,0.005,,,4201.0,229.0,29.12,0.5,25.92,1.36,1.12,,,,,,,,,,,,,,,,,,,,,,,3017364063323198080,1.948603460369657,0.09950276,19.58341,2.289277093367505,0.08812159,-0.2432472761197931,0.07333263,13.46608,0.006058722563346622,0.98504066,297.0,13.944291,0.63020504,1.629203,488.0,a,1866.0,99.0,12.2,,,3.695,0.0,0.08,1.29,6.71,675.0,,,,,,0.4036488302851832,0.06554431790963922,-0.5448916376007436,0.23569078888315292,3.771094649085555,0.1936927926115195,3.3890535091444502,0.5855516209966984,11.338801515772989,0.5856314399265617,0.42713665431893555,0.0677686701668854,3.77175692423845,0.19454419421461222,-0.5183920876683804,0.23174403055277112,0.4168460089258001,0.07364347149816569,3.742367116050621,0.2739200797109116,-0.5002672714979682,0.2454246176315587,0.3937295807163122,0.07013754423934057,0.2940431016804966,0.22517234228660374,,,,
306_B,,,83.81599999999999,-5.389583333333333,05 35 15.84,-05 23 22.5,15.0,12.0,24.0,180.0,"[40, 41, 42, 43]","[44, 45, 45, 44]",3454.9772636693338,60.084417732664406,3454.9772636693338,60.084417732664406,35.83686582749166,1.9953811065943088,27.68822054803905,23.764807125442832,1.2221709641429754,1.3734972258690743,0.0226960136053944,2.528112346347611,0.0816365845949409,102354.69756171014,15052.082034261715,0.8433277980208956,0.7295243054306485,,5.778906331313738,0.1026439167149089,3.1848201187774987,0.0556240910052929,0.7171358217171813,0.3058566078401495,2.017614104275156,0.4482780730091323,,,-0.2960078918788746,0.0110146552785434,-0.0468417418969634,0.012080959714031,,,47.66809900278138,67.98606384717647,,,,9.711,0.005,,,3473.0,35.0,21.15,0.54,40.15,2.53,0.64,,,,,,,,,,,,,,,,,,,,,,,3017364063323198080,1.948603460369657,0.09950276,19.58341,2.289277093367505,0.08812159,-0.2432472761197931,0.07333263,13.46608,0.006058722563346622,0.98504066,297.0,13.944291,0.63020504,1.629203,488.0,a,1866.0,99.0,12.2,,,3.695,0.0,0.08,1.29,6.71,675.0,,,,,,0.31515576610636725,0.039391941632101024,-0.6942351976191756,0.22906448905374305,3.736062306442547,0.203373454581379,3.722408088795804,0.5891066491025851,11.672156095424343,0.5891859864214978,0.33340613688181125,0.04198458003891814,3.736686341360691,0.19825955541588502,-0.667188999146995,0.23152400029245848,0.3336510232876572,0.04994597188538083,3.678516876008219,0.30654385656875416,-0.6102898916772914,0.2812988549737724,0.27770337799358535,0.046729915513019124,0.18381820909390612,0.14654464725525157,,,,
291_A,,,83.81599999999999,-5.390444444444445,05 35 15.84,-05 23 25.6,15.0,12.0,24.0,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3791.2050343041656,1178.6152855074315,3791.2050343041656,1178.6152855074315,51.81362544458874,34.07257297202397,10.54210855767726,6.546208314907295,66.62130510503675,1.2833662275938398,0.081771803238547,2.1764288884443097,0.1522046045009979,45392050.90019151,56684062.8954667,1.126244587273011,1.0015925646745998,211.9215520316582,5.019144207602484,0.3367291066779936,3.1492333352272084,0.0724052158624493,0.3720290896505132,0.1279183283281055,0.2113308274781653,0.0535154610882285,0.0930632213434581,0.0369157958476864,0.1250577217056005,0.0092307711407149,0.6144188079074415,0.0105891620251988,0.9962235386295158,0.004570799277668,58.873240876906266,82.58852236864527,94.1121233251649,10.395,0.01,11.064,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1.1,0.45,-1.63,0.07,,,,,,,,,,,,,,,,489.0,,0.0,96.0,13.7,,,,,,,,676.0,,,,,,0.5197238002127031,0.261321312185712,-0.38633143974475614,1.1065396767612274,3.8059171400638108,0.1678769070408883,3.0585800195533235,2.6085331847446978,11.008328026181863,2.608551103293342,0.5407818115855416,0.6524199365765206,3.8100516383397145,0.2073157993976653,-0.3694754468896993,0.5999210698839603,0.5159880627635919,0.6842629629874133,3.7892000753201702,0.2486835941052885,-0.37016892515092115,0.6104836199172217,0.5414433699786316,0.8162067345462278,0.5142867055176269,3.508013294393514,0.4850326774634566,0.49160832427419543,-0.4951516373540843,0.5704956799500094
291_B,,,83.81599999999999,-5.390444444444445,05 35 15.84,-05 23 25.6,15.0,12.0,24.0,600.0,"[46, 47, 48, 49]","[44, 45, 45, 44]",3170.5177342915863,29.728872221420943,3170.5177342915863,29.728872221420943,16.399557251891032,0.6523473885776845,33.08431695831627,29.08841671554631,0.3896226438108527,1.1346068693913105,0.0139660471573792,2.076343568118026,0.0538813917280094,41579.479669633394,3831.702313104896,0.4394481366251807,0.3736688037959503,,4.7153269513052765,0.0902036007913551,2.553571998598806,0.0407254116439399,0.3747798859043239,0.1414534538431163,0.823385487909249,0.1810357125309737,,,0.1400168385858154,0.0094313245294624,0.7327792363318928,0.010466631101503,,,43.07149668396261,65.96194676553476,,10.395,0.01,11.064,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1.1,0.45,-1.63,0.07,,,,,,,,,,,,,,,,489.0,,0.0,96.0,13.7,,,,,,,,676.0,,,,,,0.18757278985194198,0.01621005917485581,-0.984854420296116,0.24127587615133855,3.64928798308657,0.23522654898435458,4.393851243974918,0.6200196193105305,12.343599250603457,0.6200950015187771,0.17619621658080795,0.014954790691453834,3.6726295936490128,0.2137306801050014,-1.034019519135183,0.2589870480730438,0.17840422858323507,0.024161297986011382,3.40497453595893,0.21531277935929727,-0.7579287802829278,0.2658977896421261,0.13434303549076987,0.0121273256282559,0.07305303542616957,0.0541711414073819,,,,
252,,,83.82074999999999,-5.393638888888889,05 35 16.98,-05 23 37.1,15.0,12.0,24.0,300.0,"[52, 53, 54, 55]","[50, 51, 51, 50]",3113.4466789569524,134.5897704624574,3113.4466789569524,134.5897704624574,16.683717798933333,3.2970822546225307,28.573112358441488,24.474037169382655,1.6020533982679357,1.0264103287293456,0.0112068856223167,2.055318504243038,0.0486970785956031,560125.9920679498,113767.25223668104,6.264578448822458,5.305448423316761,,4.940600693051165,0.1092448427577368,2.7810910938440463,0.0514823163024988,0.3738937380781344,0.1870232191849757,0.3785301312329956,0.1217839402848419,,,0.0072888259558929,0.0095498251324754,-0.1201830289719835,0.0132629361451149,,,59.03977251108325,82.3364432372331,,9.314,0.005,10.238,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,2.97,0.37,2.67,1.38,3017364063325263360,1.8352527525489284,0.13383652,13.712646,2.0663636975960995,0.13993853,0.6918754186115056,0.11009514,14.259709,0.011507410639196242,0.89761734,361.0,45.0037,1.0193858,3.098451,534.0,,1894.0,99.0,12.66,,1.43,3.544,0.0,-0.03,0.22,4.7,755.0,,,,,,0.16497867158278096,0.06478770134460698,-1.0400853136688761,0.3815867043188222,3.62,0.2345621963203688,4.5227239483808,0.9496093302556048,12.47247195500934,0.9496585505786252,0.14983148356570047,0.05766390090598682,3.655080787419169,0.21901268561907572,-1.1138315324064025,0.3264170107697558,0.1510514890144587,0.04037932466074791,3.384105588301317,0.2444686136082117,-0.8416574119538394,0.31119038930160337,0.11346569566100691,0.02583754935446308,0.061304786921966586,0.06583322540546753,,,,
250,,,83.81624999999998,-5.393888888888889,05 35 15.90,-05 23 38.0,15.0,12.0,24.0,1200.0,"[56, 57, 58, 59]","[60, 61, 61, 60]",2996.0365239755247,57.235562307505006,2996.0365239755247,57.235562307505006,15.724869410421576,0.829010746320666,34.133417881891205,29.90916896645012,0.4693753475563653,1.0094495850324834,0.009367660272202,1.972877872370741,0.0761778231239875,33663.20665857334,4119.399471842491,0.4219824847325417,0.3553209337182542,,4.68201586145412,0.1406139402920292,1.0646219367871603,0.0168152275825942,0.088680273312579,0.0304329147184493,0.135593416725803,0.0317306128968848,,,-0.0334989028428452,0.0142122715854433,0.1654009489477424,0.0148192930338425,,,12.392070804933995,20.6913772981623,,12.144,0.008,12.803,0.006,,,2975.0,91.0,29.93,0.46,15.9,1.86,0.39,,,,,,,,,,,,,,,,,,197.0,1.7,0.4,-3.85,1.18,3017363960253005056,,,,,,,,16.926985,0.015580738512860702,0.7346411,119.0,11.949342,2.2439682,,,,,,,,,,,,,,,,,,,,0.110019223145013,0.029693154072915708,-1.209942330564961,0.2725234280696911,3.5500384462900256,0.19348003050410134,4.929875049557415,0.6831056539216287,12.879623056185954,0.683174075180179,0.10697620721082164,0.013775426764303864,3.605977057527856,0.18801193022010265,-1.282641394293555,0.24504320855987372,0.09493293827491987,0.015327061484058553,3.436653160504899,0.0886693096888278,-1.1623202047002132,0.15516833946695002,,,,,,,,
