#,HC2000,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Kmag,Hmag,mass(daRio12),rv_Tobin,rv_e_Tobin,rv_ours,rv_e_ours
1,224,83.79474999999998,-5.3957500000000005,05 35 10.74,-05 23 44.7,7.89,8.12,1.185,,,,
2,404,83.79845833333331,-5.381027777777778,05 35 11.63,-05 22 51.7,11.944,12.223,0.119,,,,
3,238,83.79883333333332,-5.394583333333334,05 35 11.72,-05 23 40.5,11.358,11.703,0.113,,,,
4,215,83.80116666666666,-5.396694444444445,05 35 12.28,-05 23 48.1,9.72,10.027,1.04,27.9,0.4,,
5,228,83.80249999999998,-5.395611111111111,05 35 12.60,-05 23 44.2,8.648,9.229,1.782,25.2,1.3,,
6,487,83.80491666666664,-5.3725555555555555,05 35 13.18,-05 22 21.2,10.336,11.382,0.421,,,,
7,471,83.80570833333331,-5.373944444444444,05 35 13.37,-05 22 26.2,11.55,12.27,0.29,,,,
8,240,83.80604166666666,-5.394555555555556,05 35 13.45,-05 23 40.4,9.469,10.497,,,,,
9,495,83.80633333333331,-5.372111111111111,05 35 13.52,-05 22 19.6,10.321,10.927,0.67,,,,
10,360,83.80637499999999,-5.3845833333333335,05 35 13.53,-05 23 04.5,12.336,12.799,,,,,
11,266,83.80637499999999,-5.391916666666667,05 35 13.53,-05 23 30.9,11.221,11.536,,,,,
12,132,83.80670833333332,-5.407166666666667,05 35 13.61,-05 24 25.8,11.278,11.561,0.79,,,,
13,483,83.80729166666666,-5.372777777777777,05 35 13.75,-05 22 22.0,9.587,10.328,0.738,,,,
14,703,83.80749999999999,-5.3686388888888885,05 35 13.80,-05 22 07.1,9.325,9.856,0.664,,,,
15,247,83.80854166666664,-5.3940277777777785,05 35 14.05,-05 23 38.5,9.732,9.93,0.485,,,,
16,438,83.80870833333331,-5.376833333333333,05 35 14.09,-05 22 36.6,9.837,10.243,0.485,,,,
17,135,83.80949999999999,-5.406861111111112,05 35 14.28,-05 24 24.7,9.131,9.543,,0.0,0.0,,
18,345,83.80966666666666,-5.385638888888889,05 35 14.32,-05 23 08.3,10.392,11.311,,,,,
19,258,83.80999999999997,-5.3926944444444445,05 35 14.40,-05 23 33.7,9.386,9.858,0.85,0.0,0.0,,
20,530,83.81054166666665,-5.368499999999999,05 35 14.53,-05 22 06.6,11.895,12.233,0.29,,,,
