HC2000,APOGEE,teff_nirspao,teff_apogee,teff_diff
332,2M05351778-0523155,3997.269172699029,4098.62,101.3508273009711
337,2M05351866-0523139,4652.070705554816,5103.0,450.9292944451836
375,2M05351697-0523009,4040.910187550589,4228.79,187.87981244941102
258,2M05351439-0523335,3587.792424922316,4130.95,543.1575750776838
389,2M05351563-0522565,3576.0729307180923,4468.0,891.9270692819077
228,2M05351259-0523440,3804.413710139414,4445.0,640.586289860586
135,2M05351427-0524246,3651.208246235048,4285.0,633.7917537649519
440,2M05351734-0522357,3717.75034296954,4504.0,786.2496570304602
204,2M05352181-0523539,3728.416341702396,4535.92,807.503658297604
214,2M05351906-0523495,3761.830513853157,4429.27,667.4394861468436
215,2M05351227-0523479,3674.433615880632,4216.0,541.5663841193682
546,2M05351498-0521598,3759.8888090378255,4417.59,657.7011909621747
217,2M05352104-0523490,3642.8265274201385,4503.0,860.1734725798615
457,2M05351671-0522309,3373.111494239421,3659.32,286.2085057605791
247,2M05351405-0523383,3809.734353907795,3921.76,112.02564609220508
172,2M05351561-0524030,3882.513411494033,4389.08,506.56658850596705
163,2M05351846-0524068,3486.0782701704347,3849.71,363.6317298295653
