RAJ2000,DEJ2000,M,_2MASS,HRV,e_HRV,o_HRV,Vmag,V-I,mult,_2M,RAJ2000,DEJ2000
83.32482083,-5.36073056,b'M',b'0533179-052138',0.0,0.0,0,18.27,3.29,1,b'2M',b'05 33 17.957',b'-05 21 38.63\r'
83.33515,-5.18999167,b'M',b'0533204-051123',24.3,0.5,1,17.61,3.09,1,b'2M',b'05 33 20.436',b'-05 11 23.97\r'
83.3440875,-5.54446389,b'M',b'0533225-053240',23.9,1.0,2,16.9,2.51,1,b'2M',b'05 33 22.581',b'-05 32 40.07\r'
83.34717083,-5.36475278,b'M',b'0533233-052153',47.2,0.1,3,16.06,2.03,1,b'2M',b'05 33 23.321',b'-05 21 53.11\r'
83.34788333,-4.70956667,b'M',b'0533234-044234',0.0,0.0,0,0.0,0.0,1,b'2M',b'05 33 23.492',b'-04 42 34.44\r'
83.356725,-5.398375,b'M',b'0533256-052354',69.9,0.8,2,0.0,0.0,1,b'2M',b'05 33 25.614',b'-05 23 54.15\r'
83.35998333,-5.27795,b'B',b'0533263-051640',67.0,12.7,3,17.95,2.64,2,b'2M',b'05 33 26.396',b'-05 16 40.62\r'
83.36819583,-4.93040833,b'M',b'0533283-045549',-22.1,0.9,1,0.0,0.0,1,b'2M',b'05 33 28.367',b'-04 55 49.47\r'
83.3688375,-5.29063056,b'M',b'0533285-051726',25.0,0.3,1,15.04,1.82,1,b'2M',b'05 33 28.521',b'-05 17 26.27\r'
83.36984167,-5.43613056,b'M',b'0533287-052610',29.2,0.8,1,17.9,2.97,1,b'2M',b'05 33 28.762',b'-05 26 10.07\r'
83.37047917,-5.15852222,b'M',b'0533289-050930',106.5,0.3,3,16.19,2.36,1,b'2M',b'05 33 28.915',b'-05 09 30.68\r'
83.37244167,-5.13030556,b'B',b'0533293-050749',31.4,3.7,3,0.0,0.0,2,b'2M',b'05 33 29.386',b'-05 07 49.10\r'
83.3743,-5.45982778,b'B',b'0533298-052735',-19.7,2.7,2,0.0,0.0,2,b'2M',b'05 33 29.832',b'-05 27 35.38\r'
83.375825,-5.38263056,b'M',b'0533301-052257',22.8,0.4,2,16.45,2.02,1,b'2M',b'05 33 30.198',b'-05 22 57.47\r'
83.3758875,-6.06933611,b'M',b'0533302-060409',32.3,3.0,1,0.0,0.0,1,b'2M',b'05 33 30.213',b'-06 04 09.61\r'
83.37798333,-5.13715,b'M',b'0533307-050813',-6.9,0.7,1,17.54,2.61,1,b'2M',b'05 33 30.716',b'-05 08 13.74\r'
83.37808333,-5.2311,b'M',b'0533307-051351',24.9,0.6,2,0.0,0.0,1,b'2M',b'05 33 30.740',b'-05 13 51.96\r'
83.37818333,-5.23112778,b'M',b'0533307-051352',25.0,0.6,1,0.0,0.0,1,b'2M',b'05 33 30.764',b'-05 13 52.06\r'
83.37917917,-6.10156111,b'M',b'0533310-060605',25.0,0.8,1,17.02,2.51,1,b'2M',b'05 33 31.003',b'-06 06 05.62\r'
83.3800125,-5.49934722,b'M',b'0533312-052957',29.0,0.4,1,18.01,2.96,1,b'2M',b'05 33 31.203',b'-05 29 57.65\r'
83.38120417,-6.16505,b'M',b'0533314-060954',26.2,0.9,1,18.0,3.3,1,b'2M',b'05 33 31.489',b'-06 09 54.18\r'
83.387125,-5.98595833,b'M',b'0533329-055909',32.5,0.6,1,15.12,1.73,1,b'2M',b'05 33 32.910',b'-05 59 09.45\r'
83.38770833,-5.1988,b'M',b'0533330-051155',27.8,0.8,2,16.82,2.48,1,b'2M',b'05 33 33.050',b'-05 11 55.68\r'
83.38879167,-4.65500833,b'M',b'0533333-043918',-6.7,0.6,3,0.0,0.0,1,b'2M',b'05 33 33.310',b'-04 39 18.03\r'
83.39125833,-5.55734722,b'M',b'0533339-053326',27.7,2.2,2,16.06,2.56,1,b'2M',b'05 33 33.902',b'-05 33 26.45\r'
