molecule,isotope,frequency,intensity,einstein_a,air_halfwidth,self_halfwidth,lower_energy,t_exponent,p_shift,upper_global,lower_global,upper_local,lower_local,err1,err2,err3,err4,err5,err6,ref1,ref2,ref3,ref4,ref5,ref6,mixing_flag,upper_weight,lower_weight
5,5,3777.9534,1.201e-36,0.2818,0.042,0.041,5523.233,0.67,0,              2,              0,,     P 56,4,6,6,2,2,0,2,2,2,2,1,0,,222,226
5,5,3784.5935,3.012e-36,0.284,0.042,0.041,5331.1678,0.67,0,              2,              0,,     P 55,4,6,6,2,2,0,2,2,2,2,1,0,,218,222
5,5,3791.1796,7.433e-36,0.2862,0.042,0.041,5142.41,0.67,0,              2,              0,,     P 54,4,6,6,2,2,0,2,2,2,2,1,0,,214,218
5,5,3797.7116,1.803e-35,0.2882,0.042,0.041,4956.9662,0.67,0,              2,              0,,     P 53,4,6,6,2,2,0,2,2,2,2,1,0,,210,214
5,5,3801.3205,2.054e-36,0.9091,0.042,0.041,5605.8049,0.67,0,              3,              1,,     P 45,4,6,6,2,2,0,2,2,2,2,1,0,,178,182
5,5,3804.1892,4.305e-35,0.2904,0.042,0.041,4774.8428,0.67,0,              2,              0,,     P 52,4,6,6,2,2,0,2,2,2,2,1,0,,206,210
5,5,3807.3296,4.263e-36,0.9161,0.042,0.041,5451.827,0.67,0,              3,              1,,     P 44,4,6,6,2,2,0,2,2,2,2,1,0,,174,178
5,5,3810.6125,1.011e-34,0.2927,0.042,0.041,4596.0462,0.67,0,              2,              0,,     P 51,4,6,6,2,2,0,2,2,2,2,1,0,,202,206
5,5,3813.2833,8.7e-36,0.923,0.042,0.041,5301.1922,0.67,0,              3,              1,,     P 43,4,6,6,2,2,0,2,2,2,2,1,0,,170,174
5,5,3816.9813,2.335e-34,0.2949,0.042,0.041,4420.5826,0.67,0,              2,              0,,     P 50,4,6,6,2,2,0,2,2,2,2,1,0,,198,202
5,5,3819.1816,1.746e-35,0.9301,0.042,0.041,5153.9056,0.67,0,              3,              1,,     P 42,4,6,6,2,2,0,2,2,2,2,1,0,,166,170
5,5,3823.2955,5.304e-34,0.2971,0.042,0.041,4248.4582,0.67,0,              2,              0,,     P 49,4,6,6,2,2,0,2,2,2,2,1,0,,194,198
5,5,3825.0244,3.446e-35,0.9373,0.042,0.041,5009.9726,0.67,0,              3,              1,,     P 41,4,6,6,2,2,0,2,2,2,2,1,0,,162,166
5,2,3827.9,1.032e-36,0.3049,0.042,0.041,6871.4721,0.67,0,              2,              0,,     P 61,4,6,6,2,2,0,2,2,2,2,1,0,,242,246
5,5,3829.5549,1.185e-33,0.2994,0.042,0.041,4079.6789,0.67,0,              2,              0,,     P 48,4,6,6,2,2,0,2,2,2,2,1,0,,190,194
5,5,3830.8115,6.688e-35,0.9446,0.042,0.041,4869.3981,0.67,0,              3,              1,,     P 40,4,6,6,2,2,0,2,2,2,2,1,0,,158,162
5,2,3835.2585,2.957e-36,0.3073,0.042,0.041,6652.293,0.67,0,              2,              0,,     P 60,4,6,6,2,2,0,2,2,2,2,1,0,,238,242
5,5,3835.7595,2.603e-33,0.3016,0.042,0.041,3914.2506,0.67,0,              2,              0,,     P 47,4,6,6,2,2,0,2,2,2,2,1,0,,186,190
5,3,3836.1943,1.657e-36,0.307,0.042,0.041,6412.3306,0.67,0,              2,              0,,     P 59,4,6,6,2,2,0,2,2,2,2,1,0,,117,119
5,5,3836.5428,1.276e-34,0.9519,0.042,0.041,4732.1872,0.67,0,              3,              1,,     P 39,4,6,6,2,2,0,2,2,2,2,1,0,,154,158
5,6,3839.1232,1.975e-36,0.3049,0.042,0.041,5077.9431,0.67,0,              2,              0,,     P 53,4,6,6,2,2,0,2,2,2,2,1,0,,1260,1284
5,5,3841.9092,5.625e-33,0.3039,0.042,0.041,3752.179,0.67,0,              2,              0,,     P 46,4,6,6,2,2,0,2,2,2,2,1,0,,182,186
5,5,3842.2182,2.393e-34,0.9591,0.042,0.041,4598.3445,0.67,0,              3,              1,,     P 38,4,6,6,2,2,0,2,2,2,2,1,0,,150,154
5,2,3842.5595,8.328e-36,0.3096,0.042,0.041,6436.5462,0.67,0,              2,              0,,     P 59,4,6,6,2,2,0,2,2,2,2,1,0,,234,238
5,2,3843.1798,1.035e-36,0.9693,0.042,0.041,7074.0548,0.67,0,              3,              1,,     P 52,4,6,6,2,2,0,2,2,2,2,1,0,,206,210
5,3,3843.4036,4.573e-36,0.3095,0.042,0.041,6200.814,0.67,0,              2,              0,,     P 58,4,6,6,2,2,0,2,2,2,2,1,0,,115,117
5,6,3845.7959,4.817e-36,0.3072,0.042,0.041,4891.4122,0.67,0,              2,              0,,     P 52,4,6,6,2,2,0,2,2,2,2,1,0,,1236,1260
5,5,3847.8376,4.414e-34,0.9668,0.042,0.041,4467.8748,0.67,0,              3,              1,,     P 37,4,6,6,2,2,0,2,2,2,2,1,0,,146,150
5,5,3848.0037,1.195e-32,0.3062,0.042,0.041,3593.4699,0.67,0,              2,              0,,     P 45,4,6,6,2,2,0,2,2,2,2,1,0,,178,182
5,2,3849.8027,2.306e-35,0.3119,0.042,0.041,6224.2394,0.67,0,              2,              0,,     P 58,4,6,6,2,2,0,2,2,2,2,1,0,,230,234
5,2,3849.9832,2.519e-36,0.9761,0.042,0.041,6887.7415,0.67,0,              3,              1,,     P 51,4,6,6,2,2,0,2,2,2,2,1,0,,202,206
5,3,3850.2516,1.183e-36,0.9755,0.042,0.041,6683.6369,0.67,0,              3,              1,,     P 50,4,6,6,2,2,0,2,2,2,2,1,0,,99,101
5,3,3850.5555,1.24e-35,0.3117,0.042,0.041,5992.733,0.67,0,              2,              0,,     P 57,4,6,6,2,2,0,2,2,2,2,1,0,,113,115
5,6,3852.4123,1.155e-35,0.3095,0.042,0.041,4708.2859,0.67,0,              2,              0,,     P 51,4,6,6,2,2,0,2,2,2,2,1,0,,1212,1236
5,5,3853.4008,8.001e-34,0.9743,0.042,0.041,4340.7827,0.67,0,              3,              1,,     P 36,4,6,6,2,2,0,2,2,2,2,1,0,,142,146
5,5,3854.0431,2.497e-32,0.3086,0.042,0.041,3438.1287,0.67,0,              2,              0,,     P 44,4,6,6,2,2,0,2,2,2,2,1,0,,174,178
5,6,3855.4229,1.035e-36,0.9773,0.042,0.041,5405.3203,0.67,0,              3,              1,,     P 43,4,6,6,2,2,0,2,2,2,2,1,0,,1020,1044
