mass,teff_2myr,teff_1myr,teff_3myr,logL_2myr,logL_1myr,logL_3myr
0.1,3076.6363636363635,3083.0,3076.0,0.05372727272727273,0.107,0.03508
0.2,3350.0,3357.0,3350.0,0.11,0.216,0.0783
0.4,3620.2,3620.9,3620.2124999999996,0.3,0.53,0.27499999999999997
0.6,3862.0,3876.96,3851.8,0.603,0.946,0.444
0.8,4078.0,4073.0,4077.0,0.939,1.35,0.71
1.0,4245.0,4237.0,4271.0,1.26,1.92,0.992
1.2,4393.0,4381.0,4427.0,1.61,2.45,1.27
1.5,4564.306122448979,4523.0,4640.722222222223,2.2085714285714286,2.89,1.933148148148148
2.0,5036.0,4818.0,5331.818181818182,4.91,4.81,7.410909090909091
2.5,7319.0,5276.857142857143,9990.0,37.0,12.685714285714287,38.31999999999999
3.0,nan,8648.0,nan,nan,80.7,nan
3.5,nan,12360.0,nan,nan,128.47,nan
4.0,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan
6.0,nan,nan,nan,nan,nan,nan
