[HC2000],sepHC_Kim,ra_1,dec_1,ID_Kim,ra_2,dec_2,mualpha,mualpha_err,mudelta,mudelta_err,Nepochs,dT,mag139,flag,RAJ2000_1,DECJ2000,RAJ2000_2,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag,OptID,AltID,sepHC_daRio,ra,dec,ID_daRio,RAh,RAm,RAs,DE-,DEd,DEm,DEs,logT,Temp(daRio),e_logT,logL,e_logL,AV,e_AV,f_BMass,BMass,e_BMass,l_logBA,logBA,e_logBA,DMass,e_DMass,logDA,e_logDA,Temp_daRio,Temp_us,eTemp_us,eTemp_us_STD,RV_us,RVe_us,RVe_us_STD,vsini_us,vsinie_us,vsinie_us_STD,sepHC_APOGEE,veiling_O32,veiling_O33,2MASS,ra_apogee,dec_apogee,RV_apogee,RVe_apogee,Temp_apogee,eTemp_apogee,raT,decT,RV_tobin,RVe_tobin,ID

1,0.1447597008,83.78083538,-5.43004773,585,83.78083538,-5.43004773,-0.16,0.06,0.27,0.05,2,17,13.05,,83.78083607,-5.430048891,05 35 07.41,-05 25 48.2,,11.834,,12.402,0.001,0.004,303,,0.1797178758,83.78083333,-5.430027778,344,5,35,7.4,-,5,25,48.1,3.486,3061.963434,0.001,-0.715,0.015,1.154,0.074,~,0.126,,<,6,,0.14,0.001,5.465,0.035,3061.963434,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

2,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 10.63,-05 25 48.1,,14.563,,15.913,0.009,0.014,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

3,0.03091415262,83.82063356,-5.42974894,451,83.82063356,-5.42974894,0.31,0.04,-0.91,0.06,3,14.6,12.31,,83.82063223,-5.429745067,05 35 16.95,-05 25 47.1,,11.255,,11.705,0.002,0.004,535,,0.1797179387,83.82058333,-5.429722222,183,5,35,16.94,-,5,25,47,3.522,3326.595533,0.001,-0.56,0.02,1.101,0.079,,0.344,0.008,,6.14,0.023,0.2,0.004,5.94,0.026,3326.595533,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

4,0.08610108124,83.81482127,-5.42968735,428,83.81482127,-5.42968735,-0.11,0.07,0.09,0.17,3,16.3,16.87,,83.81482175,-5.429687738,05 35 15.56,-05 25 46.8,,14.906,,15.546,0.049,0.058,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

5,0.06143928022,83.8451532,-5.42989945,446,83.8451532,-5.42989945,0.23,0.19,1.46,0.17,3,14.6,12.75,,83.84515221,-5.429905736,05 35 22.84,-05 25 47.6,,11.576,,12.049,0.001,0.003,724,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
